CHL_maxRE_low,USA_maxRE_low_MEX_FF_Cost
27.294424777011955,474.5605786662836
25.808086075156098,469.34137175223805
23.752372914173975,451.1443617382647
21.48147870419598,441.2135334258419
20.50025302368158,442.9983669213525
20.459007662560907,433.97126933178333
19.547397201806234,416.60430948016256
19.169617066392675,410.70731347250694
18.687332978055565,381.4442847134542
18.906439236297956,364.82071677369095
18.594273320861248,349.6964837724154
18.912804387467986,335.38232700379194
18.454828530415398,321.54371803652975
18.24823398764056,307.50999597152986
17.981698987870914,300.7762554507044
17.9851865183482,298.1769649682392
18.18937408288366,296.5987488434439
17.661278293056967,289.21433994473773
17.239184375748664,283.5116782080804
16.65364461126046,275.0813795808335
16.158872710962896,274.2047580205199
15.220741607503442,272.274707096798
14.701980567790088,268.4872322718147
13.180272069728744,263.4974820480529
11.546915973996875,256.8295977527432
10.392993806579398,254.40354879395636
10.904065227439787,252.02442543857433
11.051512493590053,250.17740126216268
11.513167414619602,245.61222744162296
11.716389404869915,241.63273251094142
