,scenario,asset_name,total_system_cost_BUSD,total_capex_BUSD,total_opex_BUSD,total_cost_BUSD,total_emissions_MtCO2e,HVDC_size_GWp
0,MEX_2042_low-WECC_2040_low,RE_PV_MY,1250.1522140338066,70.96869705473112,0.0,70.96869705473112,0.0,0.0
1,MEX_2042_low-WECC_2040_low,RE_WIND_MY,1250.1522140338066,80.8365759779359,0.0,80.8365759779359,0.0,0.0
2,MEX_2042_low-WECC_2040_low,PP_CO2_MY,1250.1522140338066,0.0,136.75210969715064,136.75210969715064,3906.660022726458,0.0
3,MEX_2042_low-WECC_2040_low,EL_Demand_MY,1250.1522140338066,0.0,0.0,0.0,0.0,0.0
4,MEX_2042_low-WECC_2040_low,CO2_Budget_MY,1250.1522140338066,0.0,0.0,0.0,0.0,0.0
5,MEX_2042_low-WECC_2040_low,RE_PV_MY,1250.1522140338066,311.2664973929589,0.0,311.2664973929589,0.0,0.0
6,MEX_2042_low-WECC_2040_low,RE_WIND_MY,1250.1522140338066,37.212078281612385,0.0,37.212078281612385,0.0,0.0
7,MEX_2042_low-WECC_2040_low,PP_CO2_MY,1250.1522140338066,0.0,612.1050178663527,612.1050178663527,10185.926971328534,0.0
8,MEX_2042_low-WECC_2040_low,EL_Demand_MY,1250.1522140338066,0.0,0.0,0.0,0.0,0.0
9,MEX_2042_low-WECC_2040_low,EL_Transport_MY,1250.1522140338066,0.9219579175262325,0.08927984553850346,1.011237763064736,0.0,0.32751953992176236
