,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_payments_BUSD_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_payments_BUSD_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,Annual_NPV_OPEX_PP_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_payments_BUSD_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_payments_BUSD_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,Annual_NPV_OPEX_PP_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,MEX-CHL,253379.97441190295,253379.97441190295,102.8641614520514,15269.487012117253,15269.487012117253,5.5199653633414325,374416.17568612914,374416.17568612914,93476.79041948917,93476.79041948917,59.999999999988816,67.53299999998882,3.878293913480854,118215.69954317762,118215.69954317762,7.941972397920385e-15,7.217000000000008,1.0056722664940474e-15,5868.250173035049,5868.250173035049,23.4351138333569,0.0,4.696999999999999,0.0,8580.556762319155,8580.556762319155,14.01776766628389,18.71476766628389,1.4995929754656594,75038.33805702925,75038.33805702925,0.9650315791658122,0.06251262338592711,0.06364282957557302
1,2,MEX-CHL,260534.47712934314,248128.07345651728,105.7686606112452,14282.891844861872,13602.754137963686,5.1633082505931185,379874.37278915837,361785.1169420556,94258.17065420083,89769.68633733412,4.896169230408985e-12,67.5329999999937,3.6936132509344244,118215.69954318619,112586.38051732017,9.56928437688206e-15,7.217000000000017,2.102981812342539e-15,5868.250173035058,5588.809688604817,22.949365513993293,0.0,4.696999999999999,0.0,8580.556762319155,8171.958821256338,0.4039781509891906,19.11874581727308,1.4690275449063042,76658.12033817364,73007.73365540347,0.8596940615193078,0.06283365484032084,0.06415987641134165
2,3,MEX-CHL,273408.0486279643,247989.15975325558,110.99491868539747,14784.449530582722,13409.931547013806,5.344622858654241,395341.54777322913,358586.43788955023,95288.08910061957,86429.10576019915,3.914370038064764e-12,67.53299999999763,3.5177269056520264,118215.69954319306,107225.12430221592,1.1487299700353057e-14,7.217000000000029,3.30201219756949e-15,5868.250173035066,5322.675893909356,22.93651738557862,0.0,4.696999999999999,0.0,8580.556762319155,7782.817925006036,0.43252895779223977,19.55127477506532,1.4404005262561583,78392.37933262222,71104.19894115394,0.8475076737712719,0.06347173204230569,0.06458685073229638
3,4,MEX-CHL,274524.7306047653,237144.78402312085,111.44825583415536,14510.763534629094,12534.94312461211,5.245684550059005,396162.01080828754,342219.64004603174,95073.26788676542,82127.86341584314,7.802903351186449e-13,67.53299999999841,3.350216100621011,118215.69954319441,102119.16600211157,1.3837329496459441e-14,7.217000000000042,4.623617301834643e-15,5868.250173035078,5069.21513705654,21.933521074298447,0.0,4.696999999999999,0.0,8580.556762319155,7412.207547624796,0.10177908096402555,19.653053856029345,1.3809995905793808,78800.47059085738,68070.80927835644,0.7922084054754828,0.06350612633147563,0.06470391588727979
4,5,MEX-CHL,284717.97013812873,234238.17865035962,115.58638490103586,16680.86857949111,13723.391862025479,6.030184034091799,406435.13927540835,334375.19492426165,97140.76079378958,79917.9443082169,5.073496447967937e-13,67.20899999999891,3.1906820005914573,117648.54146267174,96789.74621699537,1.6490909605243673e-14,6.893000000000059,6.0688089876067375e-15,5604.800948140626,4611.083610751179,21.66468914337176,1.0233935963987196e-15,4.554,3.47586436884483e-17,8319.322013115061,6844.326808780342,7.118138566893301e-12,19.510053856036464,1.3152377053143034,78227.10080433566,64357.62942752096,0.8673183656800139,0.06428963080717873,0.06526279258461325
5,6,MEX-CHL,297945.82550989476,233448.3504770482,120.95647089060104,17402.51423844792,13635.32526816387,6.2910611047416145,420683.0993580875,329616.2161381121,101838.64234628459,79793.24103593682,4.185048913129659e-13,67.11499999999933,3.0387447624680672,117483.99559980453,92051.78469371214,1.9797791762112675e-14,6.799000000000079,7.66889108398479e-15,5528.368148325582,4331.6211020838755,21.591637935622202,1.4317178835011464e-15,4.533000000000002,7.418997186242045e-17,8280.958868127049,6488.347956626575,0.8730829480568313,20.362136804093296,1.3229880955348434,81643.59463685645,63969.892722520955,0.8617525569479533,0.06478251489120262,0.06549707848876919
6,7,MEX-CHL,306785.17489617044,228927.82096738293,124.54496388224844,16794.151476834144,12532.054405461393,6.0711361413299585,429154.4170030792,320241.63350231334,101197.18405026916,75514.89683458139,1.4146469267765926e-13,67.03299999999948,2.8940426309219727,117340.45559177107,87561.25461093601,2.362634829832073e-14,6.717000000000103,9.411413058401467e-15,5461.692727210336,4075.599204742644,21.17353416127323,0.0,4.533000000000002,7.065711605944805e-17,8280.958868127049,6179.379006311023,1.95436960393791e-11,20.36213680411284,1.2599886624156094,81643.59463693481,60923.707354840335,0.7920258384251582,0.06526637514102981,0.0659991416207364
7,8,MEX-CHL,317764.24100326677,225829.11346399007,129.00211339161422,15633.92291274108,11110.737130778612,5.651710034724643,436243.92799642915,310030.41500969115,102477.20270712793,72828.63472791575,9.142857334523507e-14,65.81899999999956,2.756231077068548,115215.36327771081,81881.40762562866,2.8846090403858737e-14,5.503000000000132,1.1368339330670395e-14,4474.571248747764,3179.9942468220593,20.88693470428444,4.70831403900003e-16,4.515000000000002,7.896572169774458e-17,8248.076172423036,5861.753745232163,0.6419881577837895,20.98612496189663,1.2452099367634433,84145.52440503544,59800.65320866717,0.7021985866652087,0.06601231165953222,0.06684071937784988
8,9,MEX-CHL,326122.1890962138,220732.33441128017,132.39517286301174,15897.124390598785,10759.79953062356,5.746858158574633,444280.3402784083,300706.42207592586,102561.68769824333,69417.78727026445,6.521790011300218e-14,65.51199999999963,2.6249819781605237,114677.96349153585,77618.55964836018,3.498121885146489e-14,5.196000000000167,1.3551902049128324e-14,4224.944977011371,2859.609062846682,20.4155336096993,4.277116211996579e-16,4.416000000000003,8.505281096763013e-17,8067.221346050971,5460.212949205345,0.46509844164520264,21.35222340354183,1.2165217990115145,85613.42500183612,57946.5359593336,0.6800193303354091,0.06643202245172745,0.06737483279263756
9,10,MEX-CHL,347796.174440403,224192.5150707241,141.19411734522149,17853.19834531087,11508.33083639221,6.453984761424912,465553.1524597542,300099.713048861,106579.42127470627,68702.04523900844,4.727415780910239e-14,65.06499999999969,2.499982836343356,113895.49539896182,73418.05185121388,4.1773910964803555e-14,4.749000000000208,1.594558909205741e-14,3861.482620444041,2489.146126958293,20.735565718891266,1.5080236139344297e-15,3.9850000000000048,1.1322345602284917e-16,7279.863465582685,4692.664898762791,0.8706409001808811,21.79186430372271,1.2121019877250632,87376.19989061572,56323.47751471941,0.7273265088599871,0.06756130701519829,0.06826154291859227
10,11,MEX-CHL,339938.588987801,208692.80516955577,138.00418909419952,21996.152162544095,13503.72933948505,7.951674995216176,467041.73056302086,286723.10834925075,106735.79417421001,65526.51867074607,2.6529177398630012e-14,64.3629999999997,2.380936034612721,112666.65289116085,69167.55144195993,5.2683439141070054e-14,4.047000000000261,1.8764292739067188e-14,3290.675966506076,2020.189588946127,19.301997550132207,0.0,3.8070000000000044,1.0783186287890397e-16,6954.690141398564,4269.576452073835,2.371220484636067,23.985084788358776,1.2904354027739364,96170.09052791273,59040.09316930024,0.8534356942554547,0.06679901636961699,0.06764181663823796
11,12,MEX-CHL,356903.09811287356,208673.8496773819,144.89123693468704,22271.248846449867,13021.537942609446,8.051123271738183,482258.77962185425,281966.72042499855,112079.27607091668,65530.4314544661,2.3688273800644445e-14,63.58299999999973,2.2675581282025923,111301.27232693757,65075.54877852982,6.974222769660457e-14,3.2670000000003308,2.2290813813882384e-14,2656.446351019458,1553.169164010317,19.30024435666105,0.0,3.6780000000000044,1.0269701226562281e-16,6719.030822186478,3928.47816446585,1.564999415795454,25.421084204154234,1.3127800844816155,101927.8435245628,59595.099090055,0.8229611979729187,0.06736876473801635,0.0682121958097089
12,13,MEX-CHL,363768.06520491,202559.67024414812,147.67819389510686,20058.398320466953,11169.26673354591,7.251171168043744,488625.7698542333,272085.11214065354,111173.78134071667,61905.721370801184,2.1530632560480552e-14,63.45399999999975,2.1595791697167543,111075.4593874699,61850.972028205084,9.526027135309632e-14,3.138000000000426,2.686084510681445e-14,2551.554529996739,1420.8010368226398,18.73474390088125,0.0,3.4150000000000045,9.78066783482122e-17,6238.578101622302,3473.8737232064213,0.6782669008862023,25.836351105040436,1.284141741455566,103592.88893940557,57684.39681857324,0.7058976575600996,0.06767338377368688,0.06851793574397258
13,14,MEX-CHL,383209.30386476533,203224.07560540544,155.57071467137104,21017.86171140644,11146.220810469084,7.598020062258589,508220.45096948347,269520.15598369716,112974.79703528751,59912.94695263169,2.0468733365925097e-14,63.45399999999977,2.056742066396909,111075.45938746996,58905.68764590963,1.4041648404133424e-13,3.1380000000005666,3.3321355425943015e-14,2551.554529996854,1353.1438445930512,18.796194752743943,1.0252457823119028e-15,3.0250000000000052,1.092790070769803e-16,5526.119694702042,2930.6192603219492,1.0563529626631354,26.50270406770357,1.2721820204463563,106264.68373639371,56354.430604979374,0.7044411552216486,0.06836954377666205,0.0692995324128713
