,year,total_fossil_gen,total_curtailment
0,1,353009.294911525,3.2276147976517677e-07
1,2,355323.6438888097,3.3853575587272644e-07
2,3,366994.0340817701,3.553577698767185e-07
3,4,363221.8246188994,3.7334393709897995e-07
4,5,368758.021148913,3.922032192349434e-07
5,6,376511.313800159,4.1193561628460884e-07
6,7,377025.800340774,4.3259933590888977e-07
7,8,377282.4423377149,4.540197551250458e-07
8,9,374062.29277385917,4.773610271513462e-07
9,10,381841.16006266675,5.010515451431274e-07
10,11,367314.6707555138,5.26022631675005e-07
11,12,362850.28879867686,5.522742867469788e-07
12,13,344988.18255409703,1824.9436598806642
13,14,335012.6862725116,4406.7611353836255
14,15,312911.33312063717,14535.79680526402
15,16,307549.99628375727,31921.600081084645
16,17,294944.0444992347,70695.26545624714
17,18,287741.5756660779,124986.26325518475
18,19,280728.2575244871,196548.1335811658
19,20,277032.54849071114,278546.5028313376
20,21,273486.8374406735,388191.2215622283
21,22,265588.4904282041,537257.0838469262
22,23,259898.42891594063,705148.9061600183
23,24,254134.9678211506,923583.9264821954
24,25,248000.87523779314,1187332.7846327743
25,26,239199.95899858157,1530873.9401377751
26,27,234604.47688803304,1930436.2831368558
27,28,224244.10040510434,2451323.8631041236
28,29,213879.66995347576,3073654.9187445226
29,30,200765.1834874924,3849558.763567185
