total_discounted_energy_GWh,total_discounted_cost_BUSD,total_discounted_demand_GWh,lcoe_USD/kWh,lcue_USD/kWh
5782667.557770797,18.789272826806545,380230.1955794063,0.003249239669943911,0.04941551998040262
5660058.438722842,18.513179911345883,372168.2261077599,0.0032708460719573897,0.04974411734435776
5528685.745818332,18.190243040370436,363530.0216428288,0.0032901568070004307,0.05003780143980102
5344928.784018824,17.632265957063026,351447.37209984346,0.003298877622052322,0.05017043050204922
5236246.1302988315,18.223909145238057,344301.11541689583,0.003480338527210909,0.052930148434668
5041719.3622874385,17.180841193819013,331510.3142325552,0.003407734536422914,0.051825962741438615
4925862.675915873,17.71980698494578,323892.3403341761,0.0035973002397293,0.05470894114588619
4833294.933198863,17.05334087416215,317805.6942377018,0.0035283054541171118,0.05365964544803641
4693020.401132338,16.265937513211703,308582.16336208803,0.003465984829149057,0.05271185260998178
4553975.727616134,17.23221436591372,299439.4998980317,0.003783993459037221,0.057548233856194037
4457431.514105528,15.988136582896722,292672.8837902148,0.003586849631296031,0.05462800781488479
4300220.144083085,16.780798493445257,282731.83139006846,0.0039023114936417628,0.05935234957783646
4234781.422874337,15.506493825303178,276532.8188866306,0.00366169874590085,0.05607469626113468
4153167.903288467,14.598346843445492,270032.1679638118,0.003514990769308065,0.054061510350877466
3993009.9209976858,16.067865819043455,261976.41282992097,0.0040239984715662236,0.061333253805085704
3976522.2448153337,14.56792638091168,254953.37063216302,0.00366348419147048,0.05713957161966581
3764794.8125994215,15.426325132326998,244911.38647226733,0.004097520821241202,0.06298737414592932
3799870.987601043,14.121917371628363,239072.54519919143,0.0037164202199780195,0.05906959061259923
3780747.5553995017,13.208686584194602,233277.79066664053,0.0034936706010245304,0.05662213512245633
3559177.3789264606,14.722694224459858,227024.02706395305,0.0041365441103417555,0.06485081960206993
3635541.6867275285,13.059657647719941,219429.0105728697,0.003592217824209677,0.059516549856487584
3469977.877481239,14.46905618161352,213996.26530570388,0.004169783408566342,0.06761359204537418
3580278.206366498,12.994001433921689,205412.43241895095,0.003629327299430414,0.06325810604987941
3732596.043497229,12.322397709730582,200690.19976003456,0.0033012942108209494,0.061400096887962066
3280263.5302250423,13.42736287316199,195553.062846398,0.004093379312192276,0.0686635262967415
3752879.3463500743,12.839467649532683,189063.96245496324,0.003421231130710323,0.06791070853913347
3358065.540864126,13.82094675926694,182419.9406335075,0.004115746578225038,0.07576445157952355
3820050.3771011243,13.2071603187083,175613.25999957864,0.00345732621692038,0.07520594013652494
4233490.027333219,13.0795821077407,170684.14031177538,0.003089550707169105,0.07663033064378008
3355032.2152272016,13.649771135342679,165677.59302458167,0.004068447114573629,0.08238755094249502
