,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Discounted_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh
0,1,fast_slow_2055,136.24894189758766,56.78821111,12410.59775012,12410.59775012,54.7476863472642,335836.68202511134,335836.68202511134,18.068013492950985,13.089999999997538,20.48899999999754,0.6212170868481091,35773.864406487264,35773.864406487264,5.038810699952284e-14,7.399000000000051,4.3473804166060025e-15,5878.468467946464,5878.468467946464
1,2,fast_slow_2055,137.6561236600015,58.36387239,12902.58249528,12288.17380502857,55.23199218719539,339305.20990880363,323147.8189607654,17.38535266008916,2.905644149641168e-12,20.489000000000445,0.5916353208078445,35773.86440649234,34070.34705380223,7.946405165711851,15.345405165711902,0.612008366535869,17374.47658284098,16547.120555086647
2,3,fast_slow_2055,131.53483948000147,59.00384411,12918.635116140002,11717.582871782313,56.27660079898292,324217.00635938224,294074.3821853807,15.821201761573494,3.568246624777066e-13,20.4890000000008,0.5634622102931987,35773.864406492954,32447.949575050297,27.71349973366109,43.05890489937299,2.494345889909798,32950.94735007854,29887.480589640396
3,4,fast_slow_2055,125.63614744000158,57.68198185,13240.82324412,11437.920953780369,54.405331120493756,309677.46472763503,267511.0374496361,14.392093814790426,1.1080784863241355e-13,20.48900000000091,0.5366306764697166,35773.86440649316,30902.809119095695,55.30383486198317,98.36273976135615,5.804347666599208,57290.377874538215,49489.5824421019
4,5,fast_slow_2055,119.9600475600014,60.2140999,13690.052020120002,11262.839676982327,55.413282669315954,295686.5850628579,243262.08529397348,13.087500188815769,0.0,20.165000000000912,0.5110768347330635,35208.15929312973,28965.83978332462,1.1444894746347547,99.18322923599091,5.591992528855743,85511.00458937185,70350.11509761619
5,6,fast_slow_2055,114.50653983000137,62.47696987,13951.06014893,10931.02067666201,56.33638232964932,282244.3673404027,221145.8471495412,11.897646576645318,2.8132630610250767e-15,20.071000000000915,0.4867398426029175,35044.03497011688,27457.918377722293,38.354167133236515,137.4433963692274,7.271059503979723,109198.09051006424,85559.56124302643
6,7,fast_slow_2055,99.27462823154156,64.82582571,14167.152494209999,10571.747317678499,56.40835431497047,244699.60126088638,182598.6100117169,9.823805218630362,0.0,19.989000000000914,0.46356175485992146,34900.86268833972,26043.561093939898,8.160799701492988e-13,137.36139636922823,6.92481857521882,155524.23274793185,116054.57702660513
7,8,fast_slow_2055,101.94681884364901,65.83368942,14414.000050769999,10243.760728576859,57.9187428922347,251286.21849556087,178584.4240037935,9.607842011404088,3.6382860387202167e-13,18.775000000001278,0.4414873855808862,32781.21451666381,23296.997135983478,66.15517593071503,202.30257229994328,9.388204042154733,154812.6090112886,110022.43089305698
8,9,fast_slow_2055,99.48156956000147,66.51799268,15087.774971169998,10211.999985919092,56.8538441301046,245209.685876267,165967.5673517473,8.929055123523998,3.4245788689212467e-13,18.46800000000162,0.4204641767437086,32245.1914617182,21824.814817442213,116.00000000000067,317.99557229994394,13.438299200649197,185213.28852463682,125359.64404425032
9,10,fast_slow_2055,69.36208702514257,65.86045951,15118.182059120001,9745.314952312689,47.46085402788192,170968.91058699184,110208.08416041828,5.929194927830501,0.0,18.02100000000162,0.40044207308924623,31464.727925689025,20282.444167266258,9.595685204143532e-14,317.548572299944,12.798380191094477,273775.0891199616,176477.86348504928
10,11,fast_slow_2055,86.10821810940159,68.59272402,15594.98459001,9573.96772857104,57.592325928988075,212246.03921469426,130300.6564854325,7.0101753189162785,1.2212186520232632e-14,17.319000000001633,0.3813734029421396,30239.03351340162,18564.14344814044,0.0,316.846572299944,12.188933515328072,251733.01587270276,154542.2347980385
11,12,fast_slow_2055,65.36282004962543,72.22184541,15783.49193676,9228.280844886352,59.46482099031709,161111.21530595375,94198.39082893697,5.067873426596806,0.0,16.539000000001632,0.36321276470679953,28877.150833082254,16883.872019928353,0.0,316.066572299944,11.60850810983626,357858.99425545934,209232.7423544694
12,13,fast_slow_2055,75.27177423508326,74.17093901,16397.07271246,9130.503634875937,58.687144135649085,185535.5539440057,103313.1388383234,5.558246869501809,2.834595311717382e-13,16.410000000001915,0.34591691876838526,28651.916389799164,15954.459148335061,87.62214705819706,403.5597193581411,13.563305344251532,308825.2034337319,171965.4289481988
13,14,fast_slow_2055,78.89179548000128,74.9614222,16412.47745414,8703.887210914969,56.14540308101066,194458.45570618985,103125.47087450478,5.548150333048359,4.1798278933806373e-13,16.410000000002334,0.32944468454132597,28651.916389799895,15194.72299841473,116.00000000000072,519.5597193581418,16.019139052255742,302612.27699262474,160481.75145657672
14,15,fast_slow_2055,53.58725892004049,75.67741713,17165.33819011,8669.662222154657,55.90696350456091,132085.92289879377,66712.36669801766,3.5891253283533398,0.0,14.049000000002334,0.31375684242031043,24529.60227667936,12389.116009676656,0.0,517.1987193581417,15.25632290691023,445903.832788324,225211.7360592548
15,16,fast_slow_2055,69.4431051853841,76.26105637,17338.427885309997,8340.080266851368,60.21846810445145,171168.61026715243,82335.02819496987,4.429624516889401,2.6719378747252465e-14,13.595000000002361,0.298816040400296,23736.91671659609,11417.862796644087,4.0041238686044375e-14,516.7447193581419,14.529831339914503,410551.09321863245,197482.0954781019
16,17,fast_slow_2055,33.17438842633438,78.94310056,17627.93468626,8075.559988687562,61.43136102600644,81770.7380486427,37460.11726182379,2.0153543086861223,0.0,13.435000000002361,0.2845867051431391,23457.55616678699,10746.176757765541,110.10674436880082,626.6914637269426,16.27387564347874,709556.7724415287,325056.1329624942
17,18,fast_slow_2055,38.873589340698764,81.83882296,17885.20349942,7803.255044043056,57.55283472765348,95818.55888759873,41805.31985430518,2.249126208161616,2.6626773532650463e-13,13.272000000002627,0.27103495727918353,23172.957606669435,10110.28464593669,116.00000000000104,742.5284637269438,17.91747493938737,568221.9826858047,247913.3688734904
18,19,fast_slow_2055,63.86682521000106,83.84869051,18536.546704729997,7702.318025731093,60.007384059464755,157423.77424205327,65412.82976476878,3.519210241344562,5.787568446752387e-13,13.272000000003207,0.2581285307420866,23172.957606670447,9628.842519940126,116.00000000000098,858.5284637269447,19.347022456412905,500041.17638747336,207777.43707322952
19,20,fast_slow_2055,29.321368311945868,83.69941614,18984.90776768,7512.97267450015,56.27890453867165,72273.52307603095,28601.087274411926,1.5387384953633674,0.0,13.090000000003206,0.24583669594484434,22855.184981262595,9044.572790982565,6.081671843072909e-13,858.3464637269453,18.425735672774202,740024.9917693923,292853.01828411577
20,21,fast_slow_2055,44.51236746665889,82.54523386,18948.150118409998,7141.358499527525,57.2926668564941,109717.44507433787,41351.35113621403,2.2247026911283148,13.089999999077822,13.08999999908349,0.14400334354688055,22855.184979656766,8613.878847949605,48.25333224651104,906.5997959734564,18.39746711197739,720289.000361755,271469.3488654522
21,22,fast_slow_2055,16.847324097359124,85.77960604,19502.529655,7000.284110846004,59.31380519497144,41526.55680887144,14905.640496373173,0.8019234587048755,2.9268682790213032e-12,13.089999999083513,0.13714604147320436,22855.184979656806,8203.6941409044,116.00000000000057,1014.6533908077449,19.22409611681202,1148817.6029186985,412359.30693278875
22,23,fast_slow_2055,22.125952988617872,88.72943633,19813.21606647,6773.145358134149,45.922377872537275,54537.71996208521,18643.7125383971,1.0030317345657596,9.055837865436323e-10,13.08999999998874,0.1306152776025288,22855.184981237333,7813.042039496873,116.00000000000183,1102.9398910740858,19.42087591689497,844027.8350323949,288530.80659934453
23,24,fast_slow_2055,54.40665874000126,92.06521073,20352.98426446,6626.347663841609,62.56012594079153,134105.64145920955,43660.948804589985,2.3489590456869385,1.5400718430015787e-11,13.090000000004029,0.12439550247874315,22855.18498126403,7440.9924185771415,116.00000000000105,1163.6360562121035,18.942194629502985,677747.9920808346,220655.29878290472
24,25,fast_slow_2055,21.635018328191045,92.8472888,20328.5101797,6303.218670579156,67.27515484815444,53327.627133820635,16535.18590571611,0.8895930017275269,0.0,13.090000000004029,0.11847190712261253,22855.18498126403,7086.659446263945,26.043203632094396,1188.5347703695634,18.38649277978327,1024697.4512382579,317725.7973774043
25,26,fast_slow_2055,36.97568554323017,93.41038359,21187.57332786,6256.74912926663,57.65169240374794,91140.46227071738,26914.031122358134,1.4479748743828722,2.5763921203488232e-14,13.090000000004052,0.11283038773582163,22855.184981264065,6749.199472632338,116.00000000000043,1266.1806032363274,18.344696334055214,1005974.1520273192,297066.95534997305
26,27,fast_slow_2055,10.984926549257967,91.96150327,21109.642403849997,5936.891344195723,50.22696322168138,27076.47658185358,7615.0081737437185,0.4096874397474106,0.0,13.090000000004052,0.10745751212935394,22855.184981264065,6427.809021554608,116.00000000000084,1382.1806032363274,18.959837049075716,1564941.7050157436,440125.3552729242
