,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Fossil_Gen_GWh_loc2,Discounted_Fossil_Gen_GWh_loc2,Annual_Emissions_loc2,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,Total_Annual_Demand_loc2,Discounted_Annual_Demand_loc2,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_payments_BUSD_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_payments_BUSD_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,Annual_NPV_OPEX_PP_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_payments_BUSD_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_payments_BUSD_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,Annual_NPV_OPEX_PP_BUSD_loc1,RE_PV_MY_new_annual_installed_GWp_loc2,RE_PV_MY_total_capacity_GWp_loc2,RE_PV_MY_annual_payments_BUSD_loc2,RE_PV_MY_annual_generation_GWh_loc2,RE_PV_MY_discounted_annual_gen_GWh_loc2,RE_WIND_MY_new_annual_installed_GWp_loc2,RE_WIND_MY_total_capacity_GWp_loc2,RE_WIND_MY_annual_payments_BUSD_loc2,RE_WIND_MY_annual_generation_GWh_loc2,RE_WIND_MY_discounted_annual_gen_GWh_loc2,Annual_NPV_OPEX_PP_BUSD_loc2,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,MEX-CHL-USA,250874.18295944636,250874.18295944636,101.8468903076805,6792.97377714092,6792.97377714092,2.455680399357776,1330465.7759356913,1330465.7759356913,5700.859584675805,380826.37951620005,380826.37951620005,95662.35763519666,95662.35763519666,1469522.786940167,1469522.786940167,66.15670214430372,73.68970214430372,4.276252254371112,130414.44025153041,130414.44025153041,0.0,7.217,0.0,4387.6082548721615,4387.6082548721615,23.203353181919194,0.0,4.696999999999999,0.0,8406.091652207915,8406.091652207915,14.664510492548034,19.361510492548035,1.5687802399636468,86999.07830193464,86999.07830193464,0.4293159427153066,0.0,48.4064,0.0,84492.10310250086,84492.10310250086,0.0,48.4064,0.0,54564.90790206518,54564.90790206518,10.537288945410674,0.020442959322923185,0.020562566084011098
1,2,MEX-CHL-USA,256584.68694538207,244366.36851941148,104.1651721898429,6842.994492530291,6517.13761193361,2.473763038033172,1323853.2360130292,1260812.6057266945,5672.525776862787,388939.7322089083,370418.79257991264,94660.7533720725,90153.09844959286,1462910.2470175,1393247.854302381,1.47768518723218,75.1673873315359,4.156516157295167,133029.6155196226,126694.87192345009,0.0,7.217,0.0,4387.6082548721615,4178.674528449677,22.601445424360378,0.0,4.696999999999999,0.0,8406.091652207915,8005.8015735313475,0.15399493549556537,19.5155054280436,1.5096459045865993,87691.03967842108,83515.27588421054,0.4118830970742032,0.0,48.4064,0.0,84492.10310250086,80468.66962142938,0.0,48.4064,0.0,54564.90790206518,51966.57895434779,9.98563583735542,0.020715021781104237,0.020857004311252283
2,3,MEX-CHL-USA,258198.85763677483,234193.97518074812,104.82047383708614,6967.970035981704,6320.154227647804,2.5189420719174986,1323496.3312689497,1200450.1870920178,5670.9964900010755,389046.3338850417,352876.4933197657,93417.19250621833,84732.14739793046,1462553.3422734167,1326578.9952593348,3.770264608742684e-12,75.16738733153967,3.9585868164717737,133029.6155196293,120661.78278424425,0.0,7.217,0.0,4387.6082548721615,3979.690027094931,21.660600764467382,0.0,4.696999999999999,0.0,8406.091652207915,7624.572927172711,0.10574198114152919,19.621247409185127,1.4478612917903675,88166.18106269861,79969.32522693751,0.3994337471873419,0.0,48.4064,0.0,84492.10310250086,76636.82821088513,0.0,48.4064,0.0,54564.90790206518,49491.979956521696,9.507565481768786,0.020779776298994437,0.020958115422461242
3,4,MEX-CHL-USA,269568.17533160147,232863.1252189625,109.4360530030196,7038.392464116056,6080.028043724052,2.5443999909553496,1348828.926072215,1165169.140328012,5779.543112169793,402612.668651725,347791.960826455,97103.42841490915,83881.59241110821,1482140.5393191667,1280328.7241716157,0.5967848338388269,75.7641721653785,3.7956339029861965,134085.79240447108,115828.34890786832,0.0,7.217,0.0,4387.6082548721615,3790.180978185648,21.53751045150184,0.0,4.696999999999999,0.0,8406.091652207915,7261.498025878773,0.45857832420305455,20.079825733388184,1.4203202480923727,90226.75849286694,77941.26637975764,0.3842577723633605,0.0,46.4064,0.0,81001.15549629586,69971.84364219489,0.0,46.4064,0.0,52310.45775076017,45187.740201498906,9.22813959139786,0.021092747516616984,0.021241713545717418
4,5,MEX-CHL-USA,285676.0061942435,235026.3572846651,115.97531688266461,7046.143874417112,5796.880003222616,2.547202149033414,1359185.9765782533,1118205.6666333498,5823.921623601094,420769.9638900833,346168.4906104623,99042.39623622083,81482.42449285704,1477459.011194917,1215509.1849136248,1.0843010527517986e-12,75.44017216537958,3.614889431415465,133512.38421564968,109840.96890957958,0.0,6.893,0.0,4190.630968662022,3447.6424688577463,21.73758778525867,0.0,4.553999999999999,0.0,8150.168487152406,6705.163784351092,0.4180733578947381,20.35489909128292,1.388354338143316,91462.77407189271,75246.6505802769,0.36636281620367006,0.0,41.171400000000006,0.0,71863.60013705428,59122.36168020878,0.0,41.1714,0.0,46409.43447971933,38181.156600156784,8.85618887973613,0.02177523280036516,0.021886718920686058
5,6,MEX-CHL-USA,260728.6761548346,204287.74011599383,105.84749920122583,6480.816593687706,5077.8893812373035,2.3428346410678813,1340848.2877313911,1050589.718701974,5745.347194168731,410439.9262943583,321590.4220150153,99874.38535972167,78254.19428929628,1450221.7012216668,1136286.6500875792,15.792895783811957,91.13906794919153,3.9316994516880968,161295.95025861828,126379.5975730224,0.0,6.799,0.0,4133.483237477599,3238.6922752224573,18.89457308332826,0.0,4.5329999999999995,0.0,8112.585365011387,6356.422911195495,0.18917211104623205,20.523071202329152,1.3374917244996702,92218.43921809831,72255.56015826116,0.3209226088941969,0.0,38.07340000000001,0.0,66456.12229504273,52070.110740193915,0.0,38.0734,0.0,42917.29119534789,33626.82064550147,8.320670572119639,0.021111864206014328,0.021355829516825096
6,7,MEX-CHL-USA,280890.0024633123,209604.44459942382,114.03235252002604,7791.982776618713,5814.497518240302,2.816825149695999,1380892.589714524,1030443.3115464032,5916.931421964175,436501.7686079,325724.34039433347,103563.26067107334,77280.49963864742,1477246.3573465,1102343.9764773315,1.2251414144267916e-13,91.05706794919166,3.744475668274381,161150.82843305214,120253.2293574911,0.0,6.717,0.0,4083.6309613379944,3047.2682975324437,19.38631508100072,0.0,4.5329999999999995,0.0,8112.585365011387,6053.736105900471,0.4344850930826483,20.957556295411802,1.3065473975379216,94170.7560401081,70271.66807004034,0.3674762431527877,1.6590622429820997e-13,33.54120000000017,5.708564859742813e-15,58545.285924621865,43687.393757446465,0.0,33.5412,0.0,37808.481707475636,28213.271173572604,8.161111027447513,0.0217254305380721,0.021899193765491962
7,8,MEX-CHL-USA,292174.6262139262,207643.05198798407,118.6135486548151,7818.2782140365425,5556.30436047884,2.8263310292088564,1398648.593364308,993993.4427167695,5993.013411762987,446654.4960193917,317429.01133966027,102914.88944122416,73139.69051828358,1469505.4348280001,1044350.0770570055,1.497025018302241e-14,89.84306794919168,3.5661673031184584,159002.31750332523,112999.97849703506,0.0,5.503,0.0,3345.574092637038,2377.637046204164,19.204905878368628,0.0,4.515,0.0,8080.371260319085,5742.568995228773,0.3046560777900044,21.244212373201805,1.2657903964253896,95458.81745282571,67840.79936002262,0.3511584355822632,1.3732357559793832e-13,24.665600000000307,9.827316932040988e-15,43053.15863780556,30597.076047018778,0.0,24.6656,0.0,27803.682826014305,19759.55829330786,7.872428066316813,0.022302259073900998,0.02248242238784144
8,9,MEX-CHL-USA,298369.600540933,201948.2900788793,121.12850999240158,7495.025352208059,5072.928177777338,2.709474149899263,1417388.3878103455,959344.2521524235,6073.31080739304,451514.5030317167,305602.78817868675,104751.753264775,70900.10985111675,1487506.3711224168,1006802.8632441038,0.0,89.53606794919168,3.39634981249377,158458.9955466315,107251.28545348861,0.0,5.196,0.0,3158.93203440706,2138.089542860057,18.678197349395553,0.0,4.4159999999999995,0.0,7903.193684511423,5349.19257141386,0.8767970127777316,22.022009385979537,1.2632156285417793,98953.77324378556,66975.80875265517,0.320609060835527,1.2622342436529448e-13,24.40840000000043,1.3107014799905171e-14,42604.22277564782,28836.214963197526,0.0,24.4084,0.0,27513.76053655648,18622.396128572953,7.598006477047196,0.02239736078438976,0.022595422648662548
9,10,MEX-CHL-USA,306713.98886448814,197710.5719507752,124.51606463133844,7472.518651335225,4816.852149254474,2.70133791001364,1404531.9279549601,905373.80387234,6018.222676817086,459173.775251575,295987.5096205521,105831.5332960325,68219.94997962323,1470073.7019531669,947622.6157763158,0.0,89.08906794919167,3.234618869041685,157667.90461945857,101634.1371190802,0.0,4.749,0.0,2887.176333987515,1861.0996075813648,18.286250799727185,0.0,3.985,0.0,7131.844844379081,4597.2507757686835,0.9524353844818525,22.543444770461388,1.2615994101533174,101296.79280630348,65296.81582721003,0.304425055832883,6.068956481027839e-14,22.815400000000494,1.4155093187729732e-14,39823.68300730565,25670.7011431404,0.0,22.8154,0.0,25718.090991042045,16578.110760926305,7.170560526668928,0.02286101642292691,0.02306507163493734
