Asset_Number,Asset_Class,Location_1,Location_2,Start_Time,End_Time,Period,Transport_Time
0,CO2_Budget_MY,0,0,0,8640,1,0
1,RE_PV_MY,0,0,0,8640,1,0
2,RE_WIND_MY,0,0,0,8640,1,0
3,PP_CO2_MY,0,0,0,8640,1,0
4,EL_Demand_MY,0,0,0,8640,1,0
5,CO2_Budget_MY,1,1,0,8640,1,0
6,RE_PV_MY,1,1,0,8640,1,0
7,RE_WIND_MY,1,1,0,8640,1,0
8,PP_CO2_MY,1,1,0,8640,1,0
9,EL_Demand_MY,1,1,0,8640,1,0
10,CO2_Budget_MY,2,2,0,8640,1,0
11,RE_PV_MY,2,2,0,8640,1,0
12,RE_WIND_MY,2,2,0,8640,1,0
13,PP_CO2_MY,2,2,0,8640,1,0
14,EL_Demand_MY,2,2,0,8640,1,0
15,EL_Transport_MY,0,1,0,8640,1,0
16,EL_Transport_MY,0,2,0,8640,1,0
