Type,sizing_constant,sizing_constant_unit,lifespan,lifespan_unit,RE_type,set_size,set_number,existing_capacity,existing_capacity_unit,minimum_size,maximum_size,tech_potential,note location,Note scenario
0,"1.578058786,1.565978381,1.553897977,1.541817572,1.529737167,1.517656763,1.489856918,1.462057073,1.434257228,1.406457384,1.378657539,1.350857694,1.323057849,1.295258004,1.26745816,1.239658315,1.21185847,1.184058625,1.15625878,1.128458936,1.100659091,1.072859246,1.045059401,1.017259557,0.989459712,0.961659867,0.933860022,0.906060177,0.878260333,0.850460488",G$/GWp,175200,h,WINDOUT,24,0,"7.217,7.217,7.217,7.217,6.893,6.799,6.717,5.503,5.196,4.749,4.047,3.267,3.138,3.138,0.777,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0",GWp,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",3669,MX_30_years_med,constant max rate of install
1,"1.333182539,1.322976718,1.312770898,1.302565078,1.292359257,1.282153437,1.25866745,1.235181463,1.211695477,1.18820949,1.164723503,1.141237517,1.11775153,1.094265543,1.070779557,1.04729357,1.023807583,1.000321596,0.97683561,0.953349623,0.929863636,0.90637765,0.882891663,0.859405676,0.83591969,0.812433703,0.788947716,0.765461729,0.741975743,0.718489756",G$/GWp,175200,h,WINDOUT,24,0,"4.697,4.697,4.697,4.697,4.554,4.533,4.533,4.515,4.416,3.985,3.807,3.678,3.415,3.025,2.718,2.424,1.577,0.893,0.184,0,0,0,0,0,0,0,0,0,0,0",GWp,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",1019,CL_30_years_med,constant max rate of install
2,"1.265438331,1.255751109,1.246063886,1.236376663,1.22668944,1.217002217,1.194709645,1.172417073,1.150124501,1.127831929,1.105539357,1.083246785,1.060954213,1.038661641,1.016369069,0.994076497,0.971783925,0.949491353,0.92719878,0.904906208,0.882613636,0.860321064,0.838028492,0.81573592,0.793443348,0.771150776,0.748858204,0.726565632,0.70427306,0.681980488",G$/GWp,175200,h,WINDOUT,24,0,"48.4064,48.4064,48.4064,46.4064,41.1714,38.0734,33.5412,24.6656,24.4084,22.8154,21.6902,21.3138,19.347,17.4292,16.0418,9.2618,3.2354,1.5566,0,0,0,0,0,0,0,0,0,0,0,0",GWp,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80",3385,US_30_years_med,constant max rate of install
3,"1.578058786,1.565978381,1.553897977,1.541817572,1.529737167,1.517656763,1.489856918,1.462057073,1.434257228,1.406457384,1.378657539,1.350857694,1.323057849,1.295258004,1.26745816,1.239658315,1.21185847,1.184058625,1.15625878,1.128458936,1.100659091,1.072859246,1.045059401,1.017259557,0.989459712,0.961659867,0.933860022,0.906060177,0.878260333,0.850460488",G$/GWp,175200,h,WINDOUT,24,0,"7.217,7.217,7.217,7.217,6.893,6.799,6.717,5.503,5.196,4.749,4.047,3.267,3.138,3.138,0.777,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0",GWp,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.33480000000000004,0.40176000000000006,0.48211200000000004,0.5785344,0.69424128,0.8330895359999999,0.9997074431999998,1.1996489318399997,1.4395787182079995,1.7274944618495993,2.072993354219519,2.4875920250634227,2.9851104300761073,3.582132516091329,4.298559019309595,5.158270823171514,6.189924987805816,7.427909985366979,8.913491982440375,10.69619037892845,12.835428454714139,15.402514145656966,18.48301697478836,22.17962036974603,26.615544443695235,31.93865333243428,38.32638399892114,45.99166079870536,55.18999295844643,63.79727715760814",3669,MX_30_years_med,20%_ramp_install_growth_historical
4,"1.333182539,1.322976718,1.312770898,1.302565078,1.292359257,1.282153437,1.25866745,1.235181463,1.211695477,1.18820949,1.164723503,1.141237517,1.11775153,1.094265543,1.070779557,1.04729357,1.023807583,1.000321596,0.97683561,0.953349623,0.929863636,0.90637765,0.882891663,0.859405676,0.83591969,0.812433703,0.788947716,0.765461729,0.741975743,0.718489756",G$/GWp,175200,h,WINDOUT,24,0,"4.697,4.697,4.697,4.697,4.554,4.533,4.533,4.515,4.416,3.985,3.807,3.678,3.415,3.025,2.718,2.424,1.577,0.893,0.184,0,0,0,0,0,0,0,0,0,0,0",GWp,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.2087555555555555,0.2505066666666666,0.30060799999999993,0.36072959999999993,0.4328755199999999,0.5194506239999999,0.6233407487999998,0.7480088985599997,0.8976106782719997,1.0771328139263996,1.2925593767116794,1.5510712520540153,1.8612855024648183,2.233542602957782,2.680251123549338,3.2163013482592056,3.8595616179110466,4.6314739414932555,5.557768729791906,6.669322475750287,8.003186970900344,9.603824365080413,11.524589238096496,13.829507085715795,16.59540850285895,19.91449020343074,23.89738824411689,28.676865892940267,34.41223907152832,39.77908015522174",1019,CL_30_years_med,20%_ramp_install_growth_historical
5,"1.265438331,1.255751109,1.246063886,1.236376663,1.22668944,1.217002217,1.194709645,1.172417073,1.150124501,1.127831929,1.105539357,1.083246785,1.060954213,1.038661641,1.016369069,0.994076497,0.971783925,0.949491353,0.92719878,0.904906208,0.882613636,0.860321064,0.838028492,0.81573592,0.793443348,0.771150776,0.748858204,0.726565632,0.70427306,0.681980488",G$/GWp,175200,h,WINDOUT,24,0,"48.4064,48.4064,48.4064,46.4064,41.1714,38.0734,33.5412,24.6656,24.4084,22.8154,21.6902,21.3138,19.347,17.4292,16.0418,9.2618,3.2354,1.5566,0,0,0,0,0,0,0,0,0,0,0,0",GWp,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2.5885831111111113,3.1062997333333335,3.72755968,4.473071616,5.3676859392,6.44122312704,7.7294677524479996,9.275361302937599,11.130433563525118,13.35652027623014,16.027824331476168,19.2333891977714,23.08006703732568,27.696080444790816,33.23529653374898,39.882355840498775,47.85882700859853,57.43059241031823,68.91671089238187,82.70005307085825,99.2400636850299,119.08807642203587,142.90569170644304,171.48683004773164,205.78419605727797,246.94103526873354,296.32924232248024,355.5950907869763,426.71410894437156,493.26330401750033",3385,US_30_years_med,20%_ramp_install_growth_historical
6,"1.578058786,1.565978381,1.553897977,1.541817572,1.529737167,1.517656763,1.489856918,1.462057073,1.434257228,1.406457384,1.378657539,1.350857694,1.323057849,1.295258004,1.26745816,1.239658315,1.21185847,1.184058625,1.15625878,1.128458936,1.100659091,1.072859246,1.045059401,1.017259557,0.989459712,0.961659867,0.933860022,0.906060177,0.878260333,0.850460488",G$/GWp,175200,h,WINDOUT,24,0,"7.217,7.217,7.217,7.217,6.893,6.799,6.717,5.503,5.196,4.749,4.047,3.267,3.138,3.138,0.777,0.323,0,0,0,0,0,0,0,0,0,0,0,0,0,0",GWp,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.30690000000000006,0.3375900000000001,0.37134900000000015,0.4084839000000002,0.44933229000000025,0.4942655190000003,0.5436920709000004,0.5980612779900004,0.6578674057890005,0.7236541463679006,0.7960195610046907,0.8756215171051599,0.963183668815676,1.0595020356972435,1.165452239266968,1.2819974631936648,1.4101972095130315,1.5512169304643348,1.7063386235107685,1.8769724858618455,2.0646697344480303,2.2711367078928335,2.498250378682117,2.748075416550329,3.0228829582053622,3.3251712540258986,3.657688379428489,4.023457217371338,4.425802939108473,4.868383233019321",3669,MX_30_years_med,10%_ramp_install_growth_historical
7,"1.333182539,1.322976718,1.312770898,1.302565078,1.292359257,1.282153437,1.25866745,1.235181463,1.211695477,1.18820949,1.164723503,1.141237517,1.11775153,1.094265543,1.070779557,1.04729357,1.023807583,1.000321596,0.97683561,0.953349623,0.929863636,0.90637765,0.882891663,0.859405676,0.83591969,0.812433703,0.788947716,0.765461729,0.741975743,0.718489756",G$/GWp,175200,h,WINDOUT,24,0,"4.697,4.697,4.697,4.697,4.554,4.533,4.533,4.515,4.416,3.985,3.807,3.678,3.415,3.025,2.718,2.424,1.577,0.893,0.184,0,0,0,0,0,0,0,0,0,0,0",GWp,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","0.19135925925925923,0.21049518518518517,0.2315447037037037,0.2546991740740741,0.28016909148148156,0.30818600062962975,0.33900460069259275,0.37290506076185204,0.41019556683803726,0.451215123521841,0.49633663587402516,0.5459702994614277,0.6005673294075705,0.6606240623483276,0.7266864685831604,0.7993551154414765,0.8792906269856242,0.9672196896841867,1.0639416586526054,1.170335824517866,1.2873694069696529,1.4161063476666182,1.5577169824332802,1.7134886806766083,1.8848375487442692,2.0733213036186964,2.280653433980566,2.508718777378623,2.7595906551164853,3.035549720628134",1019,CL_30_years_med,10%_ramp_install_growth_historical
8,"1.265438331,1.255751109,1.246063886,1.236376663,1.22668944,1.217002217,1.194709645,1.172417073,1.150124501,1.127831929,1.105539357,1.083246785,1.060954213,1.038661641,1.016369069,0.994076497,0.971783925,0.949491353,0.92719878,0.904906208,0.882613636,0.860321064,0.838028492,0.81573592,0.793443348,0.771150776,0.748858204,0.726565632,0.70427306,0.681980488",G$/GWp,175200,h,WINDOUT,24,0,"48.4064,48.4064,48.4064,46.4064,41.1714,38.0734,33.5412,24.6656,24.4084,22.8154,21.6902,21.3138,19.347,17.4292,16.0418,9.2618,3.2354,1.5566,0,0,0,0,0,0,0,0,0,0,0,0",GWp,"0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0","2.372867851851852,2.6101546370370374,2.8711701007407413,3.1582871108148156,3.4741158218962975,3.8215274040859275,4.203680144494521,4.624048158943973,5.0864529748383704,5.595098272322208,6.154608099554429,6.770068909509873,7.447075800460861,8.191783380506948,9.010961718557644,9.91205789041341,10.903263679454751,11.993590047400227,13.19294905214025,14.512243957354276,15.963468353089704,17.559815188398677,19.315796707238547,21.247376377962404,23.372114015758648,25.709325417334515,28.28025795906797,31.10828375497477,34.21911213047225,37.64102334351948",3385,US_30_years_med,10%_ramp_install_growth_historical
