fast_slow_2055,linear_red_2055,slow_fast_2055
101.23770841733551,101.23770841382536,101.23770841583733
102.53352247493316,102.47767455267896,102.43124454165826
103.65602104523676,103.7221119945223,103.817969887602
105.58729108865137,105.67744318280579,106.02366163926989
107.60335700074849,107.54642052736342,107.87098401082844
110.18084467202611,110.18084467466893,110.95905439127382
109.27562426000092,112.89555880938991,114.19062173887163
104.26730083000051,115.05223924940587,113.6807279053391
99.4815695599989,118.17931033994878,117.22687467014342
94.91843043999951,114.95172414000895,121.08513264970287
90.57788346999956,111.72413793000851,117.04819436668524
86.4599286599998,108.49655172000834,119.99628975441888
82.56456599000035,105.2689655200082,123.2595843308377
78.8917954800004,102.04137931000776,125.19096313999931
75.44161712,98.8137931000081,122.18596908000404
72.21403091999969,95.58620690000794,118.95838288000422
69.20903686000062,92.3586206900079,115.50820452000403
66.42663495999979,89.13103448000778,111.83543401000438
63.866825210000016,85.90344828000792,107.94007134000388
61.52960760999931,82.67586207000775,103.82211653000402
59.4149821599998,79.44827586000763,99.48156956000405
57.52294887000121,76.22068966000799,94.91843044000393
55.85350772999958,72.99310345000771,90.13269917000373
54.40665874000064,69.76551724000774,85.12437574000387
53.1824018999997,66.53793103000757,79.89346017000408
52.18073721999981,63.310344830007644,74.4399524400038
51.401664679998895,60.08275862000761,68.76385256000366
50.84518429999965,56.85517241000748,62.865160520003265
50.51129607999991,53.627586210007316,56.743876340003645
50.40000000000154,50.40000000000752,50.4000000000034
