,year,total_fossil_gen,total_curtailment
0,1,1270464.827699813,5.931360647082329e-06
1,2,1266123.6750424323,6.19678758084774e-06
2,3,1228445.8379745523,6.49760477244854e-06
3,4,1214087.519302813,6.807968020439148e-06
4,5,1232409.4997036103,7.1553513407707214e-06
5,6,1223721.4986013295,7.4980780482292175e-06
6,7,1194844.299714243,7.861759513616562e-06
7,8,1198739.809920705,8.253147825598717e-06
8,9,1136918.241650923,8.646165952086449e-06
9,10,1109632.9211431078,587.5005222635809
10,11,1075097.821336957,3596.0971543798223
11,12,1030188.8647627775,9702.872234281152
12,13,1019588.4048101561,9824.429399027955
13,14,995777.6358027675,13061.154436423443
14,15,986588.5324394337,17199.192659929628
15,16,1003377.9167295616,17229.890057585668
16,17,1020017.1329987941,15637.854945418192
17,18,996867.7639766377,22971.798919452354
18,19,987587.0874062377,26701.541536449688
19,20,950712.2327256771,41334.63683756627
20,21,953305.8495178575,55610.4461484137
21,22,950717.4526434356,67843.51317442558
22,23,941584.0626729409,80159.50575600588
23,24,920824.8899515914,106171.94887207216
24,25,895031.0415045376,131241.6174030446
25,26,885317.8165244188,168739.7915031137
26,27,880797.3560637056,204120.57817604905
27,28,875256.139207559,248718.91013713763
28,29,855284.6445080797,305143.7164626336
29,30,842750.4327873264,363298.5550455053
