CHL_2050_lowIR,USA_2050_lowIR
28.298775305163094,477.7595689213424
28.060710740220348,476.1270741233818
27.521418825630473,461.95828581616837
26.55765085801085,456.55882572134203
26.1920694967376,463.44882477304225
26.409891719152686,460.18169327052846
24.27308239499851,449.3223937518409
23.186067482455112,450.7873042604911
23.17876369166462,427.53924169107114
24.434235800302528,417.2785696287872
24.41879260393415,404.2916108115839
25.82752786834193,387.40355278290707
25.465775000825055,383.4172392172638
25.716238360461634,374.4631757212666
25.827336802319202,371.00760421238147
26.880348576464467,377.3212689640684
28.20518576367289,383.5784628813295
27.80464329490416,374.87311951117863
28.05510473165054,371.38311180620354
27.672881419409446,357.51628582872337
27.82364898334444,358.4916180170397
27.05204178367828,357.5182487840168
27.69926747328014,354.08362835222204
26.55351774420335,346.27712069118604
25.859953371483154,336.5773181888227
24.989997366754682,332.9246502218241
24.787361833144168,331.22472654511273
23.648845536050793,329.14094640514156
22.856910523658936,321.63064585190784
21.685514000336532,316.91714300010705
