,year,location,fossil_gen,curtailment
0,1,MEX,353009.29629925673,5.0640664994716644e-08
1,2,MEX,356950.60152565915,2.386805135756731e-06
2,3,MEX,370245.83650336985,2.506712917238474e-06
3,4,MEX,367946.966852796,2.6311026886105537e-06
4,5,MEX,374556.4368602754,2.7624773792922497e-06
5,6,MEX,382583.16399274213,2.901011612266302e-06
6,7,MEX,381942.88904363,3.0454248189926147e-06
7,8,MEX,378644.9691565159,3.1973468139767647e-06
8,9,MEX,367986.1179416641,3.3569522202014923e-06
9,10,MEX,362195.06770174205,3.525405190885067e-06
10,11,MEX,404572.163323228,79982.66774431174
11,12,MEX,405217.4703424785,95947.57786260522
12,13,MEX,393243.25808931486,84188.66135138331
13,14,MEX,387223.2540495849,67970.15866805264
14,15,MEX,367204.6910101309,53803.14566246158
15,16,MEX,355004.3156110825,34098.44770694198
16,17,MEX,327066.2539904589,23348.309373067576
17,18,MEX,298353.0524573455,18257.002708444605
18,19,MEX,267754.8821582058,25496.955794496113
19,20,MEX,241776.52918456853,43324.206608337816
20,21,MEX,213704.67376739712,88540.14366897836
21,22,MEX,183563.1946360581,184420.29085836594
22,23,MEX,161053.03866317187,285857.1328675203
23,24,MEX,139824.9517203584,364913.1296574805
24,25,MEX,122699.09697318429,390955.89633544546
25,26,MEX,106453.29681159515,441182.31169269176
26,27,MEX,95565.8130690324,471301.2343421435
27,28,MEX,84663.87744849072,510227.1556514433
28,29,MEX,76984.41256452359,521589.70431341545
29,30,MEX,70499.35216570957,550635.8065316423
30,1,USA,1273879.44274679,1.5597324818372726e-06
31,2,USA,1272496.6547904767,1.634005457162857e-06
32,3,USA,1236936.0584518963,1.7082784324884415e-06
33,4,USA,1223314.1959130021,1.7904676496982574e-06
34,5,USA,1240244.9413221437,1.8780119717121124e-06
35,6,USA,1227014.7706501666,1.9690487533807755e-06
36,7,USA,1189054.0470477247,2.0607840269804e-06
37,8,USA,1177447.8214603523,2.1618325263261795e-06
38,9,USA,1091186.650628084,2.2633466869592667e-06
39,10,USA,1030826.9235242816,4257.80406190292
40,11,USA,956773.4644334841,0.0
41,12,USA,936091.571739021,0.0
42,13,USA,928869.3167380798,0.0
43,14,USA,905072.3905359659,0.0
44,15,USA,893552.1400142242,0.0
45,16,USA,907362.550927108,0.0
46,17,USA,914073.8234870239,17981.226325272582
47,18,USA,888693.554042819,68959.877699923
48,19,USA,874037.9564815712,128137.97121236846
49,20,USA,837073.2962314175,223229.67162732547
50,21,USA,827867.0780592965,335657.3793829442
51,22,USA,807495.3636608666,473795.03698542505
52,23,USA,775199.050128924,650722.5591862809
53,24,USA,745458.3952709376,806649.132969152
54,25,USA,719949.6930488407,821063.2647302244
55,26,USA,703809.1083391102,840168.3370235818
56,27,USA,690482.5914570886,801325.1466173674
57,28,USA,679758.4529758731,759155.105016377
58,29,USA,669530.1888835466,709346.9280205248
59,30,USA,664217.9996862701,631979.8193086651
