,year,total_fossil_gen,total_curtailment
0,1,75502.62310292832,7.744529284536839e-08
1,2,70369.76866304046,8.13888618722558e-08
2,3,62283.7813651906,488.0272391524486
3,4,55329.64685995028,7268.275465283543
4,5,52676.0355926027,22758.610167916195
5,6,51951.97788550114,47755.9594840465
6,7,49484.73976753622,91692.4446154766
7,8,47962.10707098872,156195.1110580057
8,9,46039.70916994138,254765.083810512
9,10,45286.960578598395,383126.09908037336
10,11,43244.89006714106,529020.6430236804
11,12,42231.14241766012,687029.6320825987
12,13,38268.04011673414,866266.8214232207
13,14,33737.05470113004,1063155.258550411
14,15,27461.222984533393,1283303.6830934833
15,16,20794.024264919277,1522710.3744296953
16,17,22416.24120152646,1773457.415742646
17,18,22541.268169090214,2053739.3976227443
18,19,23170.028361926226,2359563.5069750324
19,20,23840.42717054487,2697665.8348868946
20,21,24989.397170073862,3064900.366339716
21,22,25445.133146177326,3469849.357661344
22,23,27518.76939862837,3854569.1881691227
23,24,27629.13219262946,3856065.926078786
24,25,28110.77523046814,3855098.0180907026
25,26,28749.397930663217,3855581.01186173
26,27,30163.138670821863,3852189.476028287
27,28,30571.011462144274,3852862.4273021473
28,29,31848.054475502697,3851266.7265791944
29,30,32410.212493429313,3850143.4887572355
