MEX_2042_highIR,CHL_2040_lowIR_MEX_FF_cost
143.31047800000164,28.542774
145.06355500000146,28.739112399332505
150.76917900000166,28.744785064480325
150.40594217864003,28.464441557051767
153.9513985695064,28.955638258195215
158.50754700000138,30.247227265835747
160.2374820222417,29.354521715425903
161.86851898246212,29.276946383708417
161.96106417955545,28.55124030863826
167.60755899999876,29.37522710537159
164.15905522253254,28.359366510245827
164.5053260000005,28.897636629666405
159.64417899999984,26.99843422521823
157.20024999999947,25.724100170503043
149.07335399999968,23.976573875147338
144.12039199999936,23.33600207103045
132.7784330000001,22.96712003535636
121.12179200000139,21.5582348897868
108.62571775796287,20.56547407273265
94.78601245011575,19.405028552268732
82.84549480410703,18.525167833572002
71.48847693458286,17.114050185627644
62.451950883233174,16.358022000000002
55.15996958383545,15.300253999999995
49.81190700000119,14.543230000000005
43.216632000001105,13.883264021974883
38.7966620000011,13.481839
34.370825000001105,12.971713050964087
30.737923697290196,12.778801999999994
28.620481000001046,12.540492999999996
