,year,total_fossil_gen,total_curtailment
0,1,1282920.6198096147,4.0605664253234863e-07
1,2,1293212.634217449,8.39470885694027e-06
2,3,1272291.7730717335,1.092907041311264e-06
3,4,1277112.5972967246,1.6835983842611313e-06
4,5,1317373.1144382898,1.6069971024990082e-06
5,6,1333763.233910352,1.6600824892520905e-06
6,7,1333531.085431337,1.8917489796876907e-06
7,8,1370117.2305028792,2.0791776478290558e-06
8,9,1345565.751564304,2.190936356782913e-06
9,10,1360134.924678859,2.3045577108860016e-06
10,11,1370858.5632325946,2.4174805730581284e-06
11,12,1374650.7941157478,2.5383196771144867e-06
12,13,1367600.7919246366,2.666143700480461e-06
13,14,1343632.651591322,2.796761691570282e-06
14,15,1332362.1524077381,2.9383227229118347e-06
15,16,1349558.3113248048,3.0815135687589645e-06
16,17,1365789.5792549679,3.2349489629268646e-06
17,18,1329755.8814302844,3.394670784473419e-06
18,19,1306141.4817155902,3.562541678547859e-06
19,20,1236957.2227890617,3.727152943611145e-06
20,21,1185372.2878346136,3.934139385819435e-06
21,22,1117610.0600059205,2502.4624690457713
22,23,1099320.8148335924,3466.530526405899
23,24,1054694.871038161,6982.345817751717
24,25,1005140.4993376612,14925.762999868952
25,26,962922.7742653657,34117.93255136558
26,27,936140.5842028427,72096.1822723099
27,28,908511.7079690518,134273.98259702022
28,29,870882.8660182308,233047.39393067034
29,30,842750.4327870928,363298.55503963213
