RE_PV_Openfield_Lim_[US],RE_WIND_Onshore_Lim_[US],BESSch_[US],BESSdisch_[US],PP_CO2_[US],PP_CO2_Existing_[US],EL_Demand_[US],RE_PV_Openfield_Lim_[CL],RE_WIND_Onshore_Lim_[CL],BESSch_[CL],BESSdisch_[CL],PP_CO2_[CL],PP_CO2_Existing_[CL],EL_Demand_[CL],EL_Transport_[US-CL],EL_Transport_[CL-US]
45.91869404217637,14.874068093635744,13.341296281477966,30.249835362776224,3.4772067619685138e-06,3.782188325534715e-06,83.125,4.971795818005979e-10,13.285348167020553,0.0007383552979143195,0.00034622262304059474,5.575075442877677e-06,3.7814972045809623e-06,7.992,2.9396357996001304e-05,2.9584757223818147e-05
74.73042363726742,7.968250764447719,22.644093723778003,14.231045601410825,3.4757160159162916e-06,3.780536618843449e-06,79.077,3.475113309488885e-10,12.594583210167132,0.0007376331923455159,0.00034641545335775345,5.5754183115691384e-06,3.781649312605713e-06,7.948,2.9455714021809545e-05,2.9463061841238326e-05
90.80839774167092,6.551672850768124,27.657059385384315,11.487111011838412,3.4750556101967303e-06,3.7798341532696643e-06,76.863,0.0,12.32911238520293,0.0007374129731132316,0.00034647817792905056,5.575473064525243e-06,3.7816755824111514e-06,7.752,2.9486092452618073e-05,2.9417716263222852e-05
95.8247256622448,19.477946313094424,30.425832636122784,10.222745701085653,3.474665024090134e-06,3.779412387798169e-06,75.34,0.0,12.23494482377577,0.0007374252597313756,0.00034647530123285854,5.57537794656819e-06,3.7816328969717275e-06,7.523,2.950699861191569e-05,2.9390914498981704e-05
88.62179326347204,31.34178634016103,32.32409307918004,9.351464666999018,3.4746098118463196e-06,3.7793640449828337e-06,74.411,0.0,12.039146772052526,0.0007373762303586087,0.00034648960269133565,5.575404408261267e-06,3.7816462323835106e-06,7.308,2.9510954698120232e-05,2.9386087135959658e-05
68.94235295968218,32.40421977542072,33.56786976023011,8.714217872026087,3.4750070639484013e-06,3.7798979955441793e-06,74.378,0.0,11.900870251736947,0.0007373661398446386,0.00034649312868983073,5.575451297354433e-06,3.7816574133535877e-06,7.136,2.9481984252034243e-05,2.9413672565689422e-05
44.375208528153635,31.695930818580926,24.98774439092353,11.8379447966444,3.4771346386631906e-06,3.782582877149377e-06,75.423,0.0,11.855500407311922,0.0007374865273850753,0.00034645956261132425,5.575499832771644e-06,3.7816782615456294e-06,6.89,2.9374488348358487e-05,2.9531332373408224e-05
12.347884112181882,37.7163869517192,0.0014844400963263437,17.692949799038896,4.375468469912296e-06,5.0367065439932e-06,77.547,0.0,11.752511098622014,0.0007373539435923965,0.00034649991387274755,5.576062753012845e-06,3.7819911692379265e-06,6.627,2.0189812118255575e-05,4.724058239597944e-05
0.0,56.486044307973835,0.0014850010422638178,13.939912301348038,4.376955941232899e-06,5.041622774876807e-06,80.059,1.0846611746646153e-16,11.616749894714065,0.0007372767536931476,0.0003465207683059492,5.576277677419939e-06,3.7820869735282875e-06,6.66,2.017935712903189e-05,4.722377585660351e-05
0.0,66.93330642136084,0.0015000361582376775,2.0161728363103686,4.3319976568760745e-06,4.952065446892685e-06,80.727,2.7784081000128478e-11,11.383543717282478,0.0007369711577721232,0.0003466090609715198,5.576668618769991e-06,3.7822780947765705e-06,6.898,2.0196003720888206e-05,4.7194159538814725e-05
