RE_PV_Openfield_Lim_[US],RE_WIND_Onshore_Lim_[US],BESSch_[US],BESSdisch_[US],PP_CO2_[US],PP_CO2_Existing_[US],EL_Demand_[US],RE_PV_Openfield_Lim_[CL],RE_WIND_Onshore_Lim_[CL],BESSch_[CL],BESSdisch_[CL],PP_CO2_[CL],PP_CO2_Existing_[CL],EL_Demand_[CL],EL_Transport_[US-CL],EL_Transport_[CL-US]
24.124579811992632,7.4772913644312196,6.069336002841701e-05,0.001381016293760608,35.62522528955288,7.964260521870944e-06,83.125,7.48951304645456e-10,11.228155334635968,0.00015249150215073892,6.832503654896114e-05,3.094294269400028e-06,2.528831567532618e-06,7.992,2.7191678822196267e-06,1.4267747841273073e-05
39.261571066576245,4.0056918023738675,6.271295852066103e-05,0.0012787829825986433,12.80752174047346,7.96439174673754e-06,79.077,5.234910567941106e-10,10.644353078363393,0.0001503817685429609,6.885045605632026e-05,3.094863584334474e-06,2.529257091364166e-06,7.948,2.7489897041790477e-06,1.4211484047667606e-05
47.70855279346442,3.2935688152851794,0.0010442619070638668,0.0001784902468760754,3.6820926290735815e-06,2.539172762296775e-06,76.863,0.0,10.41998954478951,0.00014928614489469696,6.912756282891928e-05,3.0948144471841814e-06,2.5292200140784995e-06,7.752,7.102279094361354e-06,7.187913933329831e-06
50.34401109225354,9.791691072469453,0.0010345512143237773,0.0001958303296132647,3.648818519196559e-06,2.5249970283414786e-06,75.34,0.0,10.34040352311394,0.00014868132631398355,6.92799996879514e-05,3.094615550817849e-06,2.5290719685409445e-06,7.523,7.1676644491321e-06,7.12868500404099e-06
46.559763278607626,15.75572108933721,0.001035200662987017,0.00019582998955156226,3.648160827643002e-06,2.524709428946438e-06,74.411,0.0,10.174924161088253,0.00014826052117344876,6.938863603078104e-05,3.0946492936806227e-06,2.5291003590289285e-06,7.308,7.170277785991016e-06,7.12616936873576e-06
36.220657644896505,16.289813329653725,0.0010631094956801911,0.00017209847974768532,3.673872467444679e-06,2.535600000900873e-06,74.378,0.0,10.058059308943061,0.00014799954074362832,6.945578528747747e-05,3.0947915780556113e-06,2.529210553935581e-06,7.136,7.1117369853293e-06,7.176518850438509e-06
23.313669566211367,15.933751836109384,7.057274498976672e-05,0.0004058373973687882,17.751596870770346,8.159543867878153e-06,75.423,0.0,10.019714836949694,0.00014779286190616409,6.95158972659628e-05,3.095354138199429e-06,2.529666572902673e-06,6.89,2.6514432975409288e-06,1.4357199217651087e-05
6.48728196625012,18.960274531236305,7.924721148794095e-05,0.00022631869612956253,41.86565326431137,8.56426780650339e-06,77.547,0.0,9.93267308680214,0.00014770685746740025,6.95395144896849e-05,3.0960665676189967e-06,2.5302689534468163e-06,6.627,2.585465123161265e-06,1.4539407131911418e-05
0.0,28.395904110161414,8.933496039195544e-05,0.00017092215879558126,41.679931086188304,8.621626552751543e-06,80.059,1.633933555600331e-16,9.817934062522772,0.00014758095045390245,6.957540371800004e-05,3.0964795796888843e-06,2.5305945774253474e-06,6.66,2.583439360021455e-06,1.4544034757592576e-05
0.0,33.64781113994049,0.00010117286956205363,0.00013798568825788298,35.249669012607015,8.563108139089252e-06,80.727,4.1853938647398065e-11,9.620839101044938,0.00014732252708975484,6.965610778193855e-05,3.0971668455695484e-06,2.5311192678466123e-06,6.898,2.5907574493901853e-06,1.4514632788670269e-05
