RE_PV_Openfield_Lim_[US],RE_WIND_Onshore_Lim_[US],BESSch_[US],BESSdisch_[US],PP_CO2_[US],PP_CO2_Existing_[US],EL_Demand_[US],RE_PV_Openfield_Lim_[CL],RE_WIND_Onshore_Lim_[CL],BESSch_[CL],BESSdisch_[CL],PP_CO2_[CL],PP_CO2_Existing_[CL],EL_Demand_[CL],EL_Transport_[US-CL],EL_Transport_[CL-US]
22.313430263960353,5.849820259592171,0.0005482726799004618,0.005527728167123403,39.060216624785006,6.885327850497727e-05,83.125,7.849129383877963e-09,11.016522003285484,0.0013497519919434544,0.0006032234525721146,3.104386941554974e-05,2.6061875962955922e-05,7.992,2.9020648107022622e-05,0.00011956876532923588
36.314013958994295,3.133832281924377,0.0005867623871273755,0.003970154975690489,16.62476670144053,6.901699883126706e-05,79.077,5.4862699491859545e-09,10.443723515010646,0.0013267115869074735,0.0006090800414387501,3.105318472218428e-05,2.6069215268504307e-05,7.948,2.9255196561724908e-05,0.00011934180692014327
44.12683968166949,2.576706542915599,0.0006405272804440284,0.004849950279785926,2.7590274853820467,6.754567824848491e-05,76.863,0.0,10.223588886419698,0.001314929801816971,0.0006121182905601116,3.105436135912398e-05,2.6070200381918275e-05,7.752,2.9748859791834517e-05,0.00011873130883469245
46.56444130714415,7.6604789113707,0.006565851473168025,6.649692762933055e-05,4.044200314648087e-05,2.602592925175796e-05,75.34,0.0,10.145502937943522,0.0013092138723809438,0.0006135338340653096,3.105164037923845e-05,2.606812756165871e-05,7.523,6.543126552218702e-05,6.508406279360405e-05
43.06429538338566,12.326406975569217,0.0065698040125133006,6.48908194206363e-05,4.042378561615992e-05,2.6021791761073927e-05,74.411,0.0,9.983142605501193,0.0013046309958424048,0.0006147277859217356,3.105205478350656e-05,2.606841443320197e-05,7.308,6.539370714102678e-05,6.507596896066294e-05
33.50139669883123,12.7442512798258,0.0006896560510478042,0.002836890871870527,2.4828903770373283,6.779024094619546e-05,74.378,0.0,9.86848047475058,0.0013010301217494286,0.0006156954303662922,3.1054261061027774e-05,2.607004549429548e-05,7.136,2.9439756192222532e-05,0.00011887169534657335
21.563398994583533,12.46568841032141,0.0007020451280777302,0.0017793302946447907,22.969135954327275,7.086624164949739e-05,75.423,0.0,9.830858736644034,0.001298828944469478,0.0006164272942429322,3.105876239035143e-05,2.6073532684322107e-05,6.89,2.7854234170646308e-05,0.00012114728007055579
6.000250155014549,14.833472801108718,0.000764639803767237,0.0014139403388930495,46.478923955383095,7.238460674498903e-05,77.547,0.0,9.745457588625797,0.0012980517775010897,0.0006167421344492479,3.106295370976452e-05,2.6076848935017165e-05,6.627,2.7377616690830694e-05,0.000121872707187277
0.0,22.21538884297503,0.000831007123858586,0.0012205098938004235,47.86007343155471,7.291927737035586e-05,80.059,1.7123884828050236e-15,9.632881217179458,0.0012963795945268766,0.0006172435895952252,3.10686664184737e-05,2.6081278748625964e-05,6.66,2.7275601539354744e-05,0.00012203424363440184
0.0,26.32419116816477,0.0008987900571692756,0.001089310606318152,42.573067459423875,7.304566732599906e-05,80.727,4.386359668921778e-10,9.439501190349997,0.0012929579328620476,0.0006184005862418914,3.107861480291402e-05,2.608903276511868e-05,6.898,2.7252419238166836e-05,0.00012206349923895805
0.0,29.527664167465243,0.0009665600291157447,0.001001349111065088,37.831182448781576,7.312647770256487e-05,80.628,4.3445384087401015e-09,9.03582620272789,0.0012864406670066541,0.0006208803983443548,3.1094847068370474e-05,2.610164363776983e-05,7.196,2.7243356050549402e-05,0.00012206562109288398
0.0,32.034729993004746,0.0010413321211926686,0.000932776010924421,33.59264167817769,7.321570921515662e-05,80.023,6.471691049238393e-08,9.018338197121514,0.0012860025326299881,0.0006210760757326985,3.109273822674546e-05,2.610015728000713e-05,7.472,2.7224806511705885e-05,0.00012210206874376298
