,year,location,fossil_gen,curtailment
0,1,MEX,353676.8150171569,7.174676284193993e-07
1,2,MEX,356812.57841149776,7.539056241512299e-07
2,3,MEX,369493.7571024137,7.915659807622433e-07
3,4,MEX,366965.36971812585,8.31263605505228e-07
4,5,MEX,374032.1469445963,8.727656677365303e-07
5,6,MEX,383668.890057693,9.160721674561501e-07
6,7,MEX,386501.0496556389,9.618233889341354e-07
7,8,MEX,389609.6957320507,1.0104849934577942e-06
8,9,MEX,389899.0693270313,1.060892827808857e-06
9,10,MEX,401996.5674660113,1.1142692528665066e-06
10,11,MEX,392471.6097714114,0.0
11,12,MEX,394112.24213895906,0.0
12,13,MEX,381577.4572685375,0.0
13,14,MEX,378402.4570639365,0.0
14,15,MEX,358719.73301985033,0.0
15,16,MEX,352493.7374287122,0.0
16,17,MEX,329594.54891325417,9755.804782530176
17,18,MEX,313083.52534945036,32032.811918576714
18,19,MEX,302928.59216587356,72512.97629969392
19,20,MEX,297604.42697303573,118501.31301452836
20,21,MEX,291656.9342768398,184103.647506329
21,22,MEX,281114.40179208317,279284.6335357778
22,23,MEX,276089.4115522118,384787.4830291985
23,24,MEX,267580.5001319482,522886.130350785
24,25,MEX,256155.6009340398,685864.9565926902
25,26,MEX,244112.49901468874,908672.3159506699
26,27,MEX,236595.51245418764,1160734.2842022376
27,28,MEX,228363.75034485816,1505839.4800209436
28,29,MEX,222779.19688251446,1502497.757243713
29,30,MEX,217925.22317030083,1500975.6076893748
30,1,CHL,78955.84269010322,1.409207470715046e-07
31,2,CHL,79614.1519417546,7.502530934289098e-07
32,3,CHL,79770.72560908459,7.881171768531203e-07
33,4,CHL,79167.62028813256,8.276983862742782e-07
34,5,CHL,80737.43261522158,8.692586561664939e-07
35,6,CHL,84568.77449149123,9.129144018515944e-07
36,7,CHL,82416.14990640248,9.587238309904933e-07
37,8,CHL,82589.98884980586,1.0066578397527337e-06
38,9,CHL,81059.00148959481,1.057167537510395e-06
39,10,CHL,83923.10935364632,1.10996188595891e-06
40,11,CHL,81831.01635391766,1.4699180610477924e-06
41,12,CHL,84202.00653395982,1.531268935650587e-06
42,13,CHL,79917.33792650417,1.6116828192025423e-06
43,14,CHL,77837.99857815073,0.0
44,15,CHL,73913.02976737592,103.3320164247416
45,16,CHL,71516.88367730539,0.0
46,17,CHL,69033.45200453875,0.0
47,18,CHL,63780.85935662102,2608.616406452609
48,19,CHL,59730.41164249355,7234.02385950608
49,20,CHL,55295.00446744859,16330.853920366804
50,21,CHL,51516.665145229745,27863.953015141946
51,22,CHL,47660.92397572288,47114.44756206831
52,23,CHL,45250.03112006101,66947.68035982031
53,24,CHL,42324.00284366982,100619.61709137753
54,25,CHL,40229.90127328681,140500.20791937143
55,26,CHL,36303.38032994816,189990.0632351707
56,27,CHL,37293.8509500621,252290.011940131
57,28,CHL,36148.61840704061,317230.80408711906
58,29,CHL,35349.08977242129,312312.81541220366
59,30,CHL,34689.87255983906,308416.071451649
60,1,USA,1266830.2300292002,7.285270839929581e-07
61,2,USA,1258551.9619272028,7.629860192537308e-07
62,3,USA,1216600.3903987946,8.007045835256577e-07
63,4,USA,1197593.0324026505,8.414499461650848e-07
64,5,USA,1210846.7364075975,8.828938007354736e-07
65,6,USA,1196621.283672523,9.266659617424011e-07
66,7,USA,1161680.6417633274,9.71369445323944e-07
67,8,USA,1158922.0222020026,1.021428033709526e-06
68,9,USA,1089781.913191323,1.0707881301641464e-06
69,10,USA,1056004.0833497364,2162.0162489444483
70,11,USA,1015020.8420589139,7633.919564262731
71,12,USA,964628.6168725872,18122.84306547558
72,13,USA,912909.7678561212,46522.788678454235
73,14,USA,862216.3007921986,102235.86468870076
74,15,USA,836935.6717716113,181074.16697955783
75,16,USA,828497.4787333015,259791.27460385906
76,17,USA,821418.8716620919,353458.7499682314
77,18,USA,797460.1098823381,496254.4124615451
78,19,USA,779741.116738551,647673.6515787253
79,20,USA,752036.253138114,850406.3396567372
80,21,USA,747656.4807013195,1059189.8957243697
81,22,USA,742200.5748647545,1299809.4325404267
82,23,USA,731494.1564197893,1576014.6703292958
83,24,USA,716552.8980932249,1912613.5060105135
84,25,USA,699549.9020347896,2296408.095821045
85,26,USA,689921.5425566996,2735825.4814954083
86,27,USA,679457.9139531695,3226738.5513435234
87,28,USA,671104.7836596717,3798538.8998102285
88,29,USA,664104.2597945564,3763760.4414587305
89,30,USA,659102.5206687459,3709189.1867894977
