RE_PV_MY_y1,RE_PV_MY_y2,RE_PV_MY_y3,RE_PV_MY_y4,RE_PV_MY_y5,RE_PV_MY_y6,RE_PV_MY_y7,RE_PV_MY_y8,RE_PV_MY_y9,RE_PV_MY_y10,RE_PV_MY_y11,RE_PV_MY_y12,RE_PV_MY_y13,RE_PV_MY_y14,RE_PV_MY_y15,RE_PV_MY_y16,RE_PV_MY_y17,RE_PV_MY_y18,RE_PV_MY_y19,RE_PV_MY_y20,RE_PV_MY_y21,RE_PV_MY_y22,RE_PV_MY_y23,RE_PV_MY_y24,RE_PV_MY_y25,RE_PV_MY_y26,RE_PV_MY_y27,RE_PV_MY_y28,RE_PV_MY_y29,RE_PV_MY_y30,RE_WIND_MY_y1,RE_WIND_MY_y2,RE_WIND_MY_y3,RE_WIND_MY_y4,RE_WIND_MY_y5,RE_WIND_MY_y6,RE_WIND_MY_y7,RE_WIND_MY_y8,RE_WIND_MY_y9,RE_WIND_MY_y10,RE_WIND_MY_y11,RE_WIND_MY_y12,RE_WIND_MY_y13,RE_WIND_MY_y14,RE_WIND_MY_y15,RE_WIND_MY_y16,RE_WIND_MY_y17,RE_WIND_MY_y18,RE_WIND_MY_y19,RE_WIND_MY_y20,RE_WIND_MY_y21,RE_WIND_MY_y22,RE_WIND_MY_y23,RE_WIND_MY_y24,RE_WIND_MY_y25,RE_WIND_MY_y26,RE_WIND_MY_y27,RE_WIND_MY_y28,RE_WIND_MY_y29,RE_WIND_MY_y30,PP_CO2_MY_y1,PP_CO2_MY_y2,PP_CO2_MY_y3,PP_CO2_MY_y4,PP_CO2_MY_y5,PP_CO2_MY_y6,PP_CO2_MY_y7,PP_CO2_MY_y8,PP_CO2_MY_y9,PP_CO2_MY_y10,PP_CO2_MY_y11,PP_CO2_MY_y12,PP_CO2_MY_y13,PP_CO2_MY_y14,PP_CO2_MY_y15,PP_CO2_MY_y16,PP_CO2_MY_y17,PP_CO2_MY_y18,PP_CO2_MY_y19,PP_CO2_MY_y20,PP_CO2_MY_y21,PP_CO2_MY_y22,PP_CO2_MY_y23,PP_CO2_MY_y24,PP_CO2_MY_y25,PP_CO2_MY_y26,PP_CO2_MY_y27,PP_CO2_MY_y28,PP_CO2_MY_y29,PP_CO2_MY_y30,EL_Demand_MY_y1,EL_Demand_MY_y2,EL_Demand_MY_y3,EL_Demand_MY_y4,EL_Demand_MY_y5,EL_Demand_MY_y6,EL_Demand_MY_y7,EL_Demand_MY_y8,EL_Demand_MY_y9,EL_Demand_MY_y10,EL_Demand_MY_y11,EL_Demand_MY_y12,EL_Demand_MY_y13,EL_Demand_MY_y14,EL_Demand_MY_y15,EL_Demand_MY_y16,EL_Demand_MY_y17,EL_Demand_MY_y18,EL_Demand_MY_y19,EL_Demand_MY_y20,EL_Demand_MY_y21,EL_Demand_MY_y22,EL_Demand_MY_y23,EL_Demand_MY_y24,EL_Demand_MY_y25,EL_Demand_MY_y26,EL_Demand_MY_y27,EL_Demand_MY_y28,EL_Demand_MY_y29,EL_Demand_MY_y30
8.21574507438154,8.215745074381644,10.203915657391986,10.203915657392185,10.166179240664253,11.904009263884555,11.894458689280846,15.847855155978861,15.81209873642576,15.760036457792392,15.678274221548392,15.587427292388417,15.572402607950416,15.572402607950439,15.297415941608476,15.244538370020475,15.22590310250053,15.206918423714528,15.206918423714567,15.185720806910675,7.831740384907454,14.724122868826106,12.735952285815763,12.735952285815634,13.049917306316207,11.301139063427902,15.405778974326319,11.310987415320303,11.310987415319447,16.885549798579387,0.437652640558,0.498058631483,0.3500220513300018,2.3349937040640123,0.4300372346000023,0.4129278394020026,0.4644014729830134,0.7317935375252891,12.178833953307748,5.362536958817956,6.049283855565017,10.489284047086775,8.257765365273203,62.2699054393608,16.081497617470156,15.622751509773956,22.276686645152914,15.64773811755706,116.81080195861777,26.718777203044027,27.14832689137887,35.84843843804296,25.193306903846533,169.77467638759242,38.04554790956991,37.02377964635014,46.69296313031118,32.35168860067242,227.8822842034709,44.191632597650695,27.63118115507578,28.326406044151458,27.461816761294926,22.604888668561667,28.784362794754408,28.79889666673301,29.061317367743506,25.836526226511666,12.603114370288306,19.004111083393557,23.13271900289965,20.06912060053597,23.241882346789026,2.8653675835744757e-11,14.804870840926867,19.0081476102375,14.449536082352687,21.435901098763615,3.6609262366072506e-11,9.174885190050597,15.312119883754479,5.528095863133763,20.46321347038269,4.676289385034411e-11,8.725378444117167,8.680792890274194,1.5208255482072568e-12,20.05118752406485,5.976869174062595e-11,3.562363273772332,36.28457887,37.04020975,38.01575447,35.14379803,39.38057927,41.11583377,41.42017753,42.41617492,40.59404706,40.1266845,44.86027708,46.14583194,47.07205032,48.29710782,46.1837844,49.87543749,51.95212583,52.29055764,53.21396536,51.0793832,50.29218716,56.10065717,58.39247266,58.42852052,59.82084366,57.0057116,56.0292208,63.71386354,63.85119461,64.63954567
0.3856621262713704,0.3856621262713753,0.47899049606523464,0.47899049606524396,0.47721907952524706,0.5587960047810273,0.558347683311041,0.7439273566744155,0.7422488848294576,0.7398049860844873,0.7359669169144873,0.7317023956144886,0.7309971093994885,0.7309971093994896,0.7180887314644913,0.7156065613744913,0.7147317877744938,0.7138406121694937,0.7138406121694956,0.7128455571995006,0.3676362425931452,0.6911773042690047,0.5978489344751454,0.5978489344751392,0.6125870277685465,0.5304961730227661,0.723175490757631,0.5309584727042564,0.5309584727042163,0.7926386444106474,0.505068851028,0.634423104161,0.4061017877630021,2.2574308157520115,0.4351466793250024,0.476535430332003,0.5915508846610171,0.849039832585424,11.774282311028497,5.426251409503455,6.981118273562771,13.361166185926022,9.580805737873824,60.20144858982594,16.27256833544673,18.029287210233992,28.375865407167822,18.154783105353793,112.9306273910451,27.03623370274812,31.33026743053347,45.66345437176508,29.229721197388784,164.135168991946,38.4975823113284,42.72693938931634,59.47712325234194,37.53500251759391,220.31258149840835,44.716691094678815,33.91018769271595,34.48000485958373,35.57282961618868,31.078455368200583,36.95602256116842,38.67854587490655,38.57662643203533,39.085052080755986,26.258324424163835,32.44328476441595,35.42058378953579,30.166080928470663,34.80300720273933,2.8714870744397204e-11,27.12343604309424,29.215356418423415,21.09007924506379,31.283796412511908,3.666379262179588e-11,21.041220100057632,16.692543636914163,7.591793443968704,26.573851958181002,4.681606528922202e-11,18.259299640906256,11.193608297713029,1.5207888921619402e-12,23.475404649759305,5.982206217658567e-11,16.442525020912797,34.80091867,35.50009009,36.4579219,33.81487668,37.86838832,39.71387731,39.726525,40.67801927,38.77485562,38.60934116,43.13766898,44.25894951,45.11481005,46.31795974,44.11409311,47.96025019,50.18067644,50.15242013,51.00134629,48.79029936,48.39044731,53.94642512,56.40142209,55.99908198,57.36946898,54.45104386,53.91054177,61.54136564,61.24034782,61.95185476
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51549017975,0.650014188173,0.388309760216002,2.2204509097120115,0.4196516723000023,0.4863680152500031,0.6060883746730175,0.8118419168287073,11.58140293217355,5.233029657610284,7.125163047315658,13.689519713937198,9.161053929959627,59.215263809858705,15.693123351369946,18.401294171777504,29.073208392589876,17.359390396300334,111.08066416700366,26.073508600942304,31.976719919490584,46.78564356808988,27.9491161362789,161.4464030351653,37.12673349941773,43.6085448966739,60.93878632756313,35.89052859777092,216.70355015782795,43.12438791148181,33.800216460265325,34.1592373218431,34.948586329800904,30.907571170305825,36.70906935771867,38.37520442476957,38.56654929533437,38.6153899431871,26.112215547848226,32.59207078239362,35.169916002697384,29.952349116073975,35.075813250052995,2.8726399854639082e-11,27.19084793863552,28.622168638254404,20.03053378741624,32.09377929373485,3.667661186065167e-11,21.356272899062954,15.430810870550202,6.107068741912926,27.241867433766025,4.682847224758241e-11,18.47871130058546,9.324131193378252,1.5205837380332703e-12,24.330089502286544,5.98350213739631e-11,17.621871848520435,34.31570664,34.80925151,35.33689609,33.12802208,37.12872103,38.86157244,39.17263767,39.42723186,37.69361848,37.82510044,42.29507905,43.64186883,44.23686718,44.89375272,42.88397129,47.02346281,49.10374218,49.45316969,50.0088503,47.4297815,47.40753079,52.89271231,55.19098357,54.90932909,55.6054448,52.93267609,52.81549998,60.2206181,60.38650388,60.74625976
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47379677035600004,0.599388957545,0.35684397372400184,2.145574657492011,0.369533447700002,0.44703003836400285,0.5588842300450161,0.7460561781288136,11.19086421626771,4.60805858509879,6.548872069134842,12.623335151639345,8.418709037980964,57.218454509140635,13.818922596994772,16.912977378515944,26.808891848811538,15.952712203258214,107.33489172476918,22.959597597061247,29.390407847886866,43.14182465027331,25.684323923754885,156.00223782493745,32.69275624873739,40.081438102252655,56.1926743685389,32.98222232879049,209.39604806101664,37.9741218652641,33.404824129659325,33.6479978624711,34.274253466292905,30.641101062525827,36.50586046231866,37.988143121655575,38.114804029962364,37.89367904188699,25.90784289375406,32.8272974749051,35.4576300908782,30.462658818371814,35.104119982031676,2.8749665598851755e-11,28.388218963010686,29.789647061515975,21.756071301194567,32.87056297677696,3.670105512127373e-11,23.72160849294401,17.528642582153914,9.39000372972948,28.901089816290018,4.685214768356935e-11,21.802057681265772,12.015811417799476,1.521234359873245e-12,26.577639481266957,5.985940880385715e-11,21.791617574738126,33.8786209,34.24738682,34.63109744,32.78667572,36.87539391,38.43517316,38.67368826,38.63973522,37.09870711,37.43535606,42.00650216,43.08599397,43.52282902,43.99707096,42.20714156,46.70262444,48.56496315,48.82327518,49.20164514,46.68120609,46.91905043,52.53182838,54.58541374,54.0230241,54.49481393,52.09724952,52.27129669,59.55986181,59.61734939,59.76573944
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.422969339856,0.550307757636,0.3297446552890017,2.0182282561910103,0.35399827590000194,0.3990740588640025,0.5131197756360149,0.6893994445695437,10.526652285718683,4.414335981016435,5.846329627367589,11.589668401031245,7.779378423396131,53.82236468103769,13.237975627318837,15.09860624717903,24.61363522353163,14.741236993556699,100.96423846064113,21.99437700512506,26.237497136543922,39.60913941567735,23.73381410980504,146.74302910314418,31.318354044821117,35.781627219304745,51.59131518534685,30.477498103650106,196.96775381634475,36.37769125579477,33.54003334015932,33.922337342380104,34.4169840347279,31.231999673826795,36.44030539411865,38.335297391155564,38.25689338437136,38.07935163544626,26.076946154303055,33.55029733898745,36.06779881264544,31.603640238979906,36.0297170466165,2.8794201734246486e-11,28.40588156268661,31.501317542852878,24.329381486474457,34.203642746478444,3.6745059123178205e-11,24.06383514488018,21.344915123496843,12.807169694325411,31.276519330239854,4.6894676194869655e-11,23.35841493518204,15.62034740074735,1.4190157046548442,29.546006966407305,5.990267958215098e-11,23.781150524207465,33.96300268,34.4726451,34.74672869,33.25022793,36.79430367,38.73437145,38.77001316,38.76875108,36.60359844,37.96463332,41.91412844,43.19330864,43.80909547,44.14397466,41.64385719,46.59992379,48.94301671,48.94487974,49.52526335,46.05821215,47.58241226,52.41630911,55.01033344,54.37835438,54.67676898,51.40197462,53.01033089,60.02350507,59.76583885,60.15884178
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374966018868,0.5230805252890001,0.3191598308640017,1.91287593731501,0.3488123858000019,0.35378264329200226,0.48773246978901413,0.667269678514456,9.977156843416811,4.349668261367728,5.182822343837946,11.016253634473866,7.529659880801066,51.01281580610587,13.044046189173361,13.385046483245528,23.395841805509935,14.268042347695468,95.69386499681261,21.67217085404548,23.259770672029873,37.649422826239956,22.971957166080823,139.08298453312034,30.859556493402494,31.720725458751573,49.03876398804413,29.49916847444757,186.68595861072595,35.84477705313472,34.70410197114732,34.910096084727094,34.6161586291529,32.9402151827028,37.69954565421865,39.201841396727566,39.55631018021836,38.311900921501355,26.536991196604923,35.44509125863617,38.15985863617509,33.59643932553728,37.500114089211564,2.8811652601186e-11,28.498043420832094,34.80313504678637,26.58487289449616,36.2852252923397,3.678300047178156e-11,24.273486085959764,26.616403228010874,16.55338296376282,33.20471452396411,4.6927040482828726e-11,24.113973646600694,19.555635081300515,6.526987221957552,31.796964935609882,5.99407151266684e-11,25.99030577686754,35.07906799,35.43317661,34.93531846,34.85309112,38.04835804,39.55562404,40.04404265,38.9791706,36.51414804,39.79475952,43.34268098,44.61269296,45.02977397,44.3835685,41.54208961,48.18818153,49.9807147,50.55326764,50.90521478,45.94565694,49.8761739,54.20280579,56.17667169,55.89353033,54.97353014,51.27636054,55.56575121,61.29613341,61.72981654,61.83508283
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.345048258555,0.510317450062,0.3085389067180016,1.8130471717120094,0.368203772200002,0.32555506054500205,0.47583188106201374,0.6450644385215579,9.456471088278992,4.591477616200556,4.769295707221869,10.747458932589637,7.27908966893363,48.350569743768496,13.76919859250212,12.31708140824209,22.82498727255301,13.793233863568393,90.69981377160823,22.876983114922524,21.40392185137685,36.7307833576439,22.20750189648873,131.82455109712268,32.57511938181239,29.189794618419906,47.84222654579715,28.517502235657357,176.94323121269053,37.83748129918671,36.803464411460325,37.0468010899541,35.931395973298905,36.0391228683058,39.98220302781867,41.50826284947457,41.93055776894537,39.78973525149424,27.403855371742736,38.62758719380335,41.19575769279118,36.49710269742152,40.44986721107901,2.8839009702359498e-11,28.166737667503337,38.786641011789825,30.03435115745308,39.74235903646679,3.679743955334858e-11,23.50426921508273,32.76405448866392,20.75146755235888,37.20464774355619,4.6938085679419066e-11,24.45132950819077,22.572699931632183,12.504910414204542,36.30896293440008,5.996113015597917e-11,27.704131330815546,37.14851267,37.55711854,36.23993488,37.85217004,40.3504068,41.83381791,42.40638965,40.43479969,36.86032646,43.21906481,45.9650534,47.24456163,47.72895688,46.04101818,41.93593626,51.10372242,52.85933843,53.5355929,53.95658444,46.38125233,54.16797634,57.48225091,59.41214964,59.24391051,57.02644889,51.76249455,60.34713696,64.82646517,65.37148799,65.54161263
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.315652490293,0.49721012896100003,0.3073313085290016,1.6958398568790087,0.3870811669250021,0.2978199803670019,0.4636103094610134,0.6425397045875686,8.845142491127003,4.826877527543507,4.3629841032463395,10.471414295605054,7.250599856756371,45.22487034734209,14.4751299720872,11.26774972270582,22.238735641786235,13.739248178549673,84.8363802140659,24.04986039914268,19.580453072615455,35.787366330259445,22.120583396135952,123.30254355963004,34.24520924295172,26.703022357021364,46.61341607606628,28.405886866234734,165.50445491834242,39.777366557875965,38.74058513972233,38.83385741105511,37.12682948148791,39.053022203138795,41.68576460309367,43.50080203965257,44.120517340546364,41.12472058542824,28.297872418894716,41.699588682460416,43.564180856766704,39.19934484440613,42.73275615325629,2.333351902687088,27.782420497918256,42.01743876732608,33.10324123821987,42.54561190148552,3.6814142772444734e-11,22.68709807086257,38.732805947425284,24.148631079743325,40.081969823908956,4.69499354214319e-11,24.66045004705147,25.456448043030708,18.351872753935428,39.46527542382271,5.998099714075804e-11,28.859996832126292,39.05623763,39.33106754,37.43416079,40.74886206,42.07284577,43.79862202,44.58412765,41.76726029,37.14301491,46.52646621,47.92716496,49.67075914,49.98335601,47.55822225,42.25755047,53.28518849,55.34197688,56.28486008,56.50513536,46.73695847,58.31325902,59.93599741,62.20255322,62.04219961,58.90565929,52.1594704,64.96528883,67.87116229,68.7285758,68.63736339
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.288275709358,0.480694103358,0.29961444009000154,1.554030600682008,0.4019860411250022,0.2719898266020017,0.4482103823580129,0.6264059940623738,8.105495364344856,5.012740360649987,3.9845791684188336,10.123581183340765,7.068542501564583,41.44308328794057,15.032506588925841,10.290489205918556,21.500022759959766,13.394265523993234,77.74220565047031,24.975919774814237,17.88222546199385,34.59860322157212,21.565151433544997,112.99175748011821,35.5638487928262,24.38704888666477,45.06503978903373,27.692635447467655,151.66466718481547,41.309026310951225,39.76456065065734,40.12997755665811,38.684740559926915,40.31168609933579,42.910294318893676,44.77202182341757,45.273571277649374,42.87048744595343,29.85627882567684,42.78893445935392,45.35448424159421,40.814627636670416,44.54098111844806,8.08458289208855,28.156545041079628,44.56444110411335,35.415572680046374,44.32681637604194,3.6834534159815214e-11,22.791281355191018,42.029297418046916,27.103063858430684,42.40609704649992,4.696277133810304e-11,25.781165627176982,28.922194903387314,21.680833340967986,42.10840586258981,6.000229589405068e-11,29.56139756905106,40.05283636,40.61067166,38.984355,41.8657167,43.31228036,45.04401165,45.72178166,43.49689344,37.96177419,47.80167482,49.33906341,50.93820882,51.60952362,49.52766618,43.18905163,54.85493031,56.91559544,57.7210819,58.34348373,47.76720113,59.91152288,61.70166708,63.97124848,64.06069184,61.34501442,53.30924379,66.74587313,69.80104131,70.48232414,70.87042388
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255101885913,0.46791220507500003,0.2847003867750015,1.4779169323030077,0.4114906456500022,0.24069012914700152,0.4362922425750126,0.5952250790521508,7.708502547125866,5.1312621744451805,3.5260468622105545,9.854390061500053,6.716688232805003,39.41327441764081,15.387936916176352,9.106293448183456,20.928326327487984,12.727532671998196,73.93453001182132,25.566453315340635,15.824397587418524,33.67860893825832,20.491692430269563,107.4576211802102,36.40472455362806,21.580667260156943,43.86673768655551,26.314165700240753,144.23640021384955,42.28574171454983,40.72896349410233,41.496816844941115,40.24825267324191,41.97624057771478,44.162455534368675,45.838564610872595,46.34852148743238,44.62952058096368,31.69933435289582,44.48407157555872,47.25023965780251,42.26813283851111,46.613620937207656,12.081807862388299,29.446298023829122,47.346534511848496,37.29535590251813,46.33556518803699,3.6848665641438e-11,24.020324744664645,46.36024792262227,29.820397931744473,44.94980237977537,4.6969570372948536e-11,27.377133316375147,33.75926427989518,25.411562393446196,45.091107619816704,6.001335952913069e-11,30.947672415452445,40.98406538,41.96472905,40.53295306,43.45415751,44.57394618,46.07925474,46.78481373,45.22474566,39.4078369,49.61533375,50.77628652,52.1225229,53.33030917,51.49508228,44.83423494,56.45282796,58.22368223,59.06309786,60.28879569,49.58677806,62.18464551,63.49900687,65.44149481,66.19662926,63.78185787,55.33993154,69.27830008,71.40527332,72.12103917,73.23341413
