,year,total_fossil_gen,total_curtailment
0,1,1265127.5316326695,0.0002514009829610586
1,2,1254891.968307095,0.00026379222981631756
2,3,1210690.4363260933,0.00027667731046676636
3,4,1189096.691781408,0.00029031233862042427
4,5,1199377.2789165087,0.0003047699574381113
5,6,1181734.1530083846,0.00031984620727598667
6,7,1142864.8091919618,0.0003356111701577902
7,8,1135590.0472456517,0.000352310948073864
8,9,1062102.974276126,844.4565093421843
9,10,1025144.32206606,5793.319346473552
10,11,979841.3064296532,13805.434985467233
11,12,933092.4812832231,35823.48701392021
12,13,888053.5868819633,79968.23193844361
13,14,843213.3691659662,151954.82595042884
14,15,821696.017789063,246534.7687202557
15,16,814734.5370631294,340498.0202312367
16,17,808077.8429611134,450415.7190347633
17,18,786001.9411735007,613289.2854464778
18,19,769030.9118691366,786372.1524033239
19,20,742838.1670503159,1014660.0449709143
20,21,740193.5839104922,1251114.2278903723
21,22,735682.9949842851,1522492.5242112086
22,23,724589.1083244443,1832581.6014294655
23,24,710138.6206396314,2209066.944220283
24,25,691865.4351396511,2636877.7418274237
25,26,683679.8680812207,3129795.780966445
26,27,677214.4460502217,3684548.887646223
27,28,671104.783663185,4324366.106314276
28,29,664101.476330416,4282692.113593798
29,30,659102.520666276,4220376.012074617
