,year,total_fossil_gen,total_curtailment
0,1,353009.29491131176,1.1047814041376114e-07
1,2,354785.02185857756,1.1600786820054054e-07
2,3,365032.33562670724,1.2171221897006035e-07
3,4,358429.6503394089,1.278822310268879e-07
4,5,358943.15522935067,1.3422686606645584e-07
5,6,358310.52062828396,1.409207470715046e-07
6,7,345336.41090756917,1.4831312000751495e-07
7,8,324620.76318334654,193.65517835563514
8,9,292825.31117944245,4262.097366474161
9,10,271012.27582610666,24389.2526912436
10,11,249731.2866658414,92659.12516485539
11,12,237278.50815445263,197084.236214519
12,13,225880.17765673026,357612.80540802435
13,14,217480.9007538411,528829.5404155634
14,15,205310.3012133377,729903.1093245533
15,16,197226.7154677532,939294.578060811
16,17,184544.61261135535,1186773.8227146529
17,18,173867.4171267818,1460559.5914014804
18,19,161947.98123702034,1764224.8550992957
19,20,152180.13398415316,2090674.8014980056
20,21,141818.31593406372,2456515.7578347083
21,22,129177.00228393503,2874122.435678811
22,23,115928.1703866932,3315140.951815744
23,24,105113.24348791808,3812478.5418903767
24,25,96999.61656532253,4355688.2251693625
25,26,82625.49447471304,4964651.664566357
26,27,72719.10023422142,5608723.766471961
27,28,63078.19002051106,6344599.618423306
28,29,52749.44397366892,7126546.342183484
29,30,47957.73753353767,7990299.786137145
