,year,total_fossil_gen,total_curtailment
0,1,355304.2358018379,2.852175384759903e-09
1,2,360481.91890955035,1.8102582544088364e-08
2,3,375549.7498318114,1.8801074475049973e-08
3,4,375797.23697113997,1.9848812371492386e-08
4,5,386071.1164239019,2.066371962428093e-08
5,6,399379.77110472467,2.1711457520723343e-08
6,7,406364.1055027841,2.2817403078079224e-08
7,8,414087.0880679741,2.3457687348127365e-08
8,9,419377.2399090579,2.5087501853704453e-08
9,10,436691.6075805727,2.5902409106492996e-08
10,11,432591.0359544388,2.7241185307502747e-08
11,12,439115.17657174804,2.898741513490677e-08
12,13,430340.67628447624,3.015156835317612e-08
13,14,427492.19566349045,3.166496753692627e-08
14,15,401881.55133595655,3.329478204250336e-08
15,16,379908.9645198061,288.69486376363784
16,17,382803.93007371365,188.18303687276784
17,18,387652.2921652448,651.180960223428
18,19,391246.06361258426,3069.2150376251666
19,20,401100.2106039734,2179.9276953605004
20,21,401520.3216383118,1638.4652404459193
21,22,385769.65259533736,5368.878819640027
22,23,379755.8362913994,7584.216309740557
23,24,365507.2261521048,19261.037550344947
24,25,348844.0451935148,35638.18275271694
25,26,320254.9604900669,77840.93876233185
26,27,302503.5747114054,131609.1574728476
27,28,270627.4016463871,241097.24859320757
28,29,240335.5092026965,391245.4528311492
29,30,207392.92505813367,615232.5624388929
