,year,total_fossil_gen,total_curtailment
0,1,355304.23580183706,2.153683453798294e-09
1,2,360651.25968852727,9.19681042432785e-09
2,3,375966.5121388881,2.153683453798294e-09
3,4,376590.12496832316,1.0360963642597198e-08
4,5,387413.55718334153,1.0360963642597198e-08
5,6,401525.15715524426,5.471520125865936e-09
6,7,409710.03332208155,4.016328603029251e-09
7,8,419201.9149292164,1.1525116860866547e-08
8,9,427076.587460229,1.3969838619232178e-08
9,10,448167.1732747413,9.487848728895187e-09
10,11,449804.87002593133,1.5832483768463135e-08
11,12,464713.1424151669,1.1408701539039612e-08
12,13,468438.8815765019,1.83936208486557e-08
13,14,483854.3924644313,1.3445969671010971e-08
14,15,485478.1671295267,2.0605511963367462e-08
15,16,503008.86769400554,1.6996636986732483e-08
16,17,501047.9126433612,2.0139850676059723e-08
17,18,499103.5500335004,2.2118911147117615e-08
18,19,492863.61240294797,2.3515895009040833e-08
19,20,493221.53223899374,2.60770320892334e-08
20,21,483300.39313443366,2.87545844912529e-08
21,22,456746.2336932937,3.119930624961853e-08
22,23,439250.5271351442,1.7811544239521027e-08
23,24,411355.32603554014,1584.9707659709966
24,25,382701.2367044236,11165.277146496112
25,26,334442.6186785966,41287.85678329819
26,27,308920.3199705069,98401.72093452269
27,28,272473.6519957051,219577.00176913803
28,29,240335.5092026957,391633.6634456307
29,30,207392.9250581329,615762.237778746
