total_discounted_energy_GWh,total_discounted_cost_BUSD,total_discounted_demand_GWh,lcoe_USD/kWh,lcue_USD/kWh
1441501.1822344582,49.269765472184375,1441501.1822344584,0.03417948322165907,0.03417948322165906
1383069.2299926588,47.315533909567904,1383069.2299926588,0.03421053182552478,0.03421053182552478
1298739.0167243762,44.35345098201252,1298739.0167243765,0.034151165408027005,0.034151165408027
1236048.0150674512,42.425265503996584,1236048.0150674514,0.034323315103322614,0.03432331510332261
1197033.8941837335,41.706152257147664,1197033.8941837335,0.03484124589937983,0.03484124589937983
1145913.0680771442,40.249874096064445,1145913.0680771442,0.035124718634725244,0.035124718634725244
1081323.9232053098,38.372074654827045,1081323.9232053098,0.0354861978278283,0.0354861978278283
1036720.388572257,37.59919037384977,1036720.3885722571,0.036267436030297764,0.036267436030297764
971982.1614465622,35.24055424574087,971982.1614465624,0.036256379636940825,0.03625637963694082
933983.6688986049,34.00910581553642,933983.6688986048,0.036412955545187926,0.03641295554518793
896615.6771181464,32.74895334231663,896615.6771181466,0.03652507331522079,0.03652507331522079
858855.5702736274,31.40650429236464,858855.5702736274,0.03656785305864486,0.03656785305864486
814710.5756148868,29.923473839213813,814710.5756148867,0.03672896208157069,0.0367289620815707
765146.0377533487,28.21255828617595,765146.0377533488,0.0368721223062394,0.0368721223062394
727239.8972532605,26.9004108442714,727239.8972532604,0.03698973467472366,0.03698973467472366
698292.2455937103,26.2460078444238,698292.2455937101,0.03758599355791014,0.037585993557910154
673429.9740938289,25.66398698456966,673429.9740938288,0.038109362475442624,0.03810936247544263
635574.916692485,24.311490002377017,635574.9166924849,0.03825117915114298,0.03825117915114299
608634.2381809726,23.362425232576626,608634.2381809726,0.03838499999999999,0.03838499999999999
571136.9717196944,21.923092659460465,571136.9717196944,0.038384999999999996,0.038384999999999996
547592.307214055,21.019330712411495,547592.307214055,0.038384999999999996,0.038384999999999996
525015.1846869552,20.152707864208764,525015.1846869552,0.03838499999999998,0.03838499999999998
502336.6404976899,19.28219194550382,502336.6404976899,0.03838499999999999,0.03838499999999999
473758.12536500714,18.18520564213579,473758.12536500714,0.03838499999999999,0.03838499999999999
446998.7104345428,17.15804550002992,446998.7104345428,0.038384999999999996,0.038384999999999996
424439.8706704646,16.292124435685775,424439.8706704646,0.03838499999999998,0.03838499999999998
406875.8563611441,15.617929746422508,406875.8563611441,0.03838499999999998,0.03838499999999998
389254.89845137345,14.941549277055964,389254.89845137345,0.03838499999999999,0.03838499999999999
367853.8368240758,14.120069526492145,367853.8368240758,0.03838499999999999,0.03838499999999999
351362.0763329123,13.487033300038838,351362.0763329123,0.038385,0.038385
