,year,total_fossil_gen,total_curtailment
0,1,1283568.203000765,0.0
1,2,1294289.7122585978,0.0
2,3,1273926.786704931,0.0
3,4,1279472.3975267431,0.0
4,5,1320674.4491862594,0.0
5,6,1338287.6697083085,0.0
6,7,1339644.3914724716,6.984919309616089e-10
7,8,1378294.5595044107,0.0
8,9,1356424.3509838113,0.0
9,10,1374476.6302420401,0.0
10,11,1389725.000179359,0.0
11,12,1399395.0864160527,0.0
12,13,1399980.716183662,2.3283064365386963e-10
13,14,1385931.6486927723,1.1641532182693481e-09
14,15,1387546.5277706191,0.0
15,16,1421481.4460029826,2.3283064365386963e-10
16,17,1459457.2105036317,2.3283064365386963e-10
17,18,1451670.7156046592,0.0
18,19,1464750.8638892507,6.984919309616089e-10
19,20,1443234.6822733337,2.3283064365386963e-10
20,21,1452925.4120857916,0.0
21,22,1462672.6639306673,4.656612873077393e-10
22,23,1469465.6426253328,0.0
23,24,1455159.3366177082,0.0
24,25,1441615.5158625434,1.6298145055770874e-09
25,26,1437304.053159625,0.0
26,27,1446717.3698472911,0.0
27,28,1453266.161625708,0.0
28,29,1442034.5444278764,1.3969838619232178e-09
29,30,1446253.9492610828,0.0
