,year,total_fossil_gen,total_curtailment
0,1,1265127.5313437486,8.304370567202568e-06
1,2,1254891.9679532207,8.716713637113571e-06
2,3,1210690.4358986195,9.149080142378807e-06
3,4,1189096.691270328,9.603332728147507e-06
4,5,1199377.278310308,1.0082032531499863e-05
5,6,1181734.1522940972,1.0584015399217606e-05
6,7,1142864.808354607,1.1110212653875351e-05
7,8,1135590.046267889,1.1663651093840599e-05
8,9,1062102.9731824382,844.4561959591229
9,10,1025144.3208625822,5793.319088312797
10,11,979841.3051565167,13805.434847814497
11,12,933092.4801371975,35823.4872224275
12,13,888053.5858560626,79968.2325194364
13,14,843213.3682532227,151954.82693526475
14,15,821696.0169586516,246534.77012218582
15,16,814734.5362551634,340498.0220410591
16,17,808077.8421534637,450415.7212887623
17,18,786001.940383927,613289.2882296327
18,19,769030.9110788356,786372.1557740625
19,20,742838.1663093737,1014660.0490677776
20,21,740193.5831751896,1251114.2327239332
21,22,735682.9942196298,1522492.5298568362
22,23,724589.1075330959,1832581.6080168372
23,24,710138.6198244253,2209066.9518983774
24,25,691865.434316266,2636877.7507799715
25,26,683679.8672309952,3129795.7913682545
26,27,677214.4451771807,3684548.8997241226
27,28,671104.7836597144,4324366.119115315
28,29,664101.452254229,4282692.091721399
29,30,659102.5206687253,4220376.02449048
