total_discounted_energy_GWh,total_discounted_cost_BUSD,total_discounted_demand_GWh,lcoe_USD/kWh,lcue_USD/kWh
1441501.182242763,32.303122187992884,1441501.1822344584,0.022409362257847055,0.022409362257976156
1383069.2300009606,31.391114702850267,1383069.2299926588,0.022696705285554262,0.022696705285690497
1298739.016732674,29.768476486458244,1298739.0167243765,0.022921061200847588,0.02292106120099403
1236048.0150757467,28.749845163709573,1236048.0150674514,0.023259488962447582,0.02325948896260368
1197033.8941920279,28.440217126485784,1197033.8941837335,0.02375890713243531,0.023758907132599937
1145913.068085437,27.56981692985231,1145913.0680771442,0.02405925693466021,0.024059256934834326
1081323.9232136002,26.406980217784756,1081323.9232053098,0.024420971043815916,0.02442097104400315
1036720.3885805465,25.93798846415574,1036720.3885722571,0.025019271107100952,0.025019271107301
972553.7226394967,24.432772758367022,971982.1614465624,0.02512228598751011,0.025137058813923807
937718.0940374257,23.69524451076854,933983.6688986048,0.025269049047295898,0.025370084402772296
905091.0165421134,22.94877967070662,896615.6771181466,0.025355217598316344,0.025594890047503233
879800.821315433,22.307960272334462,858855.5702736274,0.025355693847819723,0.025974053198755235
859239.8797472324,21.815065620840546,814710.5756148867,0.025388795533161253,0.026776460590776124
845730.9268107307,21.442601371390307,765146.0377533488,0.025353928408708915,0.028024194484952043
851756.7089410926,21.476706533680698,727239.8972532604,0.02521460213724718,0.029531804587175258
862077.6160616161,21.767308508659873,698292.2455937101,0.025249824497361822,0.03117220425404069
879770.6057022777,22.126058002301846,673429.9740938288,0.025149803663467137,0.03285576652876908
903151.0016942946,22.381946934159494,635574.9166924849,0.02478206511665422,0.035215277296710444
935388.1113177651,22.770712948760803,608634.2381809726,0.024343598847628777,0.03741280315878337
972672.4079639948,23.142595897817042,571136.9717196944,0.02379279571244269,0.04052022026893942
1019124.1034004283,23.490982598926962,547592.307214055,0.023050168787634908,0.04289867167499175
1071502.2535019538,23.894815037782983,525015.1846869552,0.0223002937788403,0.04551261703417297
1128804.4269539588,24.31707575450194,502336.6404976899,0.021542328479452158,0.048407927660641684
1192966.9374870802,24.792377960482867,473758.12536500714,0.02078211657123261,0.05233129867985181
1264609.884289703,25.321065715974175,446998.7104345428,0.0200228276170689,0.05664684287647876
1348677.2427095007,26.009198436663773,424439.8706704646,0.01928496871824658,0.06127887654752711
1443121.0968796888,26.75878921472269,406875.8563611441,0.0185423033954534,0.06576647101658328
1547529.094197992,27.544313125541194,389254.89845137345,0.017798898404437463,0.0707616352038845
1460341.3392652068,25.887325857307403,367853.8368240758,0.017726900664424804,0.07037394548011167
1376686.9050936198,24.301643208296635,351362.0763329123,0.017652265826298415,0.06916410405450546
