fast_slow_2055,linear_red_2055,slow_fast_2055
100.64881563229117,100.64881563244505,100.64881563253616
102.34950088135996,102.34950088147377,102.69443464815761
103.68630009661796,103.68629890936064,104.14728701935731
105.10791462308426,105.10791462320715,105.89494872758038
107.88586138445186,108.15090115785145,108.90213042838528
109.86414505475508,110.29499210173789,111.27841081059387
109.27562425999994,112.9162676822755,113.73032687659044
104.26730082999978,117.133466186027,117.02556691394007
99.48156956000032,114.33433205036495,113.07038844520638
94.9184304400002,114.95172414000051,115.9215023697821
90.57788346999973,111.72413793000136,117.39254000050906
86.45992866000024,108.49655172000104,119.83145998765022
82.56456598999992,105.26896552000112,123.4647661900254
78.89179548,102.04137931000034,125.19096313999893
75.44161712000015,98.8137931000012,122.1859690800014
72.21403092000024,95.5862069000007,118.95838288000147
69.20903686000017,92.35862069000125,115.50820452000147
66.42663496,89.13103448000118,111.83543401000138
63.86682520999995,85.9034482800013,107.94007134000158
61.529607610000404,82.67586207000107,103.82211653000162
59.41498215999999,79.44827586000127,99.48156956000149
57.522948870000036,76.22068966000104,94.9184304400013
55.85350773000061,72.99310345000092,90.13269917000152
54.40665873999975,69.76551724000069,85.12437574000158
53.18240190000031,66.5379310300009,79.89346017000153
52.180737220000275,63.31034483000043,74.43995244000139
51.401664680000415,60.08275862000125,68.76385256000135
50.84518429999922,56.855172410003284,62.86516052000137
50.51129607999891,53.62758621000169,55.80826463362302
50.39999999999849,50.39999999999993,50.40000000000143
