CHL_2050_highIR_MEX_FF_cost,USA_2040_lowIR_MEX_FF_cost,USA_2050_highIR_MEX_FF_cost
28.745785009340764,475.7524732893481,482.4435820000256
29.047839253785522,471.9033794407767,486.31390431010595
29.15663103893552,455.2813491101114,478.4465935553983
28.96350939535911,447.160999848898,480.2594693260307
29.503497722021642,451.02702488586965,495.3994770576335
30.76853059087346,444.3923097043475,501.5629978752215
29.71479222159922,429.7754540465582,501.4756982075397
29.248517110018252,427.0397724890861,515.2339546478381
27.761300229162234,399.40488516822916,506.00134644150813
27.239345538876982,385.5065470046947,511.48009856040943
26.557096219234552,368.47030264541337,515.5127335621806
27.203478758564756,350.8903602480731,516.9388057780209
26.934238917304143,333.95343901475826,514.2876454040514
27.298530291429916,317.0912303449928,505.27440226356833
27.197911861006105,308.99960887331724,501.0361197750822
28.21544182853954,306.3817370932909,507.502752532004
29.357682460710883,303.8784806196521,513.6065370684097
29.27288974087184,295.5768156833167,500.0560289677399
29.85975406357889,289.19484314210695,491.1758103406296
30.178283157068982,279.3450352788063,465.15900058704966
30.75642224101335,278.35053714661296,445.76043421249403
30.18859603745708,276.6543256592857,420.2783806752863
31.24801480109554,272.4824584769277,413.400691738987
29.84176228951091,267.0483381235954,396.61906094877145
28.864178315823537,260.1766884400664,377.9840899164268
27.562631548519786,257.0984977520835,362.1080721852654
26.973406088771284,254.66716932332338,352.0366028300632
25.185228068006147,252.36962500001954,341.64673629347004
23.70383600000569,249.73601522165524,327.4963726490218
21.685514000005554,247.8561619999946,316.91714300001894
