,scenario,asset_name,total_system_cost_BUSD,total_capex_BUSD,total_opex_BUSD,total_cost_BUSD,total_emissions_MtCO2e,HVDC_size_GWp
0,MEX-CHL_higher_ambition,RE_PV_MY,800.8852212291076,67.65383963890169,0.0,67.65383963890169,0.0,0.0
1,MEX-CHL_higher_ambition,RE_WIND_MY,800.8852212291076,276.23754484025784,0.0,276.23754484025784,0.0,0.0
2,MEX-CHL_higher_ambition,PP_CO2_MY,800.8852212291076,0.0,116.69015897483304,116.69015897483304,2977.5137754230554,0.0
3,MEX-CHL_higher_ambition,EL_Demand_MY,800.8852212291076,0.0,0.0,0.0,0.0,0.0
4,MEX-CHL_higher_ambition,CO2_Budget_MY,800.8852212291076,0.0,0.0,0.0,0.0,0.0
5,MEX-CHL_higher_ambition,RE_PV_MY,800.8852212291076,62.16589981155971,0.0,62.16589981155971,0.0,0.0
6,MEX-CHL_higher_ambition,RE_WIND_MY,800.8852212291076,18.294266112410146,0.0,18.294266112410146,0.0,0.0
7,MEX-CHL_higher_ambition,PP_CO2_MY,800.8852212291076,0.0,33.65549299402627,33.65549299402627,532.2058463370141,0.0
8,MEX-CHL_higher_ambition,EL_Demand_MY,800.8852212291076,0.0,0.0,0.0,0.0,0.0
9,MEX-CHL_higher_ambition,EL_Transport_MY,800.8852212291076,224.0753389280603,2.1126799290585176,226.1880188571188,0.0,41.289046204953024
