,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,MEX-WECC,353467.472230085,353467.472230085,143.496482766303,1271545.2546874427,1271545.2546874427,5448.393400000035,374416.17568612914,374416.17568612914,1441031.1121847085,1441031.1121847085,1.082000000001153,8.615000000001153,15080.45328305836,15080.45328305836,0.06993856690652563,0.0,7.217,5868.250173035043,5868.250173035043,0.0,32.69220650656053,0.6292467792879908,49.03564677928799,84857.30757582454,84857.30757582454,0.048618731996886315,0.08883831974133177,48.49523831974133,84628.54992146774,84628.54992146774,0.009020824715064343,10.070638417124547,0.02362526487761801,0.02362526487761899
1,2,MEX-WECC,356734.0896374295,339746.7520356471,144.82262490192804,1282602.8304490054,1221526.505189529,5495.773564077723,379874.37278915837,361785.1169420556,1452621.5198656667,1383449.0665387302,1.2519822000014535,9.866982200002607,17272.032978744952,16449.555217852336,0.13768892827445606,0.0,7.217,5868.250173035043,5588.809688604802,0.0,31.423177095777024,0.19403830204433226,49.22968508133232,85193.09529271096,81136.28123115329,0.059472002159026996,0.1129135043912831,48.60815182413261,84825.59413599828,80786.28012952217,0.019427163930408563,9.674489921101067,0.023672613968957396,0.023672613969113694
2,3,MEX-WECC,369665.38775562414,335297.4038599765,150.07231813637517,1260678.8750014973,1143472.9024956892,5401.832484338916,395341.54777322913,358586.43788955023,1431385.3375485833,1298308.6961891912,1.4486686036218008,11.315650803624408,19807.909844624122,17966.35813571349,0.20286065280894044,0.0,7.217,5868.250173035043,5322.675893909336,0.0,31.011656883009223,0.2527154845822231,49.482400565914546,85630.4252151833,77669.31992306875,0.07159707958765857,0.14351306408138975,48.751664888214,85076.03733266675,77166.4737711263,0.031517477403941216,9.05630538776586,0.024367225571584564,0.024367225571595475
3,4,MEX-WECC,367551.5876691762,317504.88082857244,149.21418294288006,1266098.975010121,1093703.898075906,5425.056854061866,396162.01080828754,342219.64004603174,1430742.10386425,1235928.8231199654,1.676254441250934,12.99190524487534,22742.172966133166,19645.544080451928,0.2649691128697311,0.0,7.217,5868.250173035043,5069.215137056511,0.0,29.366026427834655,0.32913664712001633,47.81153721303456,82738.95799153902,71473.02277640774,0.08503239455564798,0.18240510444754165,46.93406999266154,81904.17086319835,70751.90226817696,0.04564901465696989,8.662134872761175,0.024347399956009458,0.02434739995601832
4,5,MEX-WECC,375260.08758381964,308727.40274582675,152.34358723622796,1307892.4012191277,1076006.3152444733,5604.135834287795,406435.13927540835,334375.19492426165,1455487.092595625,1197432.8331060617,1.9395940139716243,14.607499258846966,25570.250743508044,21036.708567733025,0.32342210734256305,0.0,6.893,5604.800948140577,4611.083610751139,0.0,28.554197479961495,0.4286675692092562,43.00520478224382,74421.48986009914,61226.743885602504,0.0997587868167556,0.23183688775293415,41.930906880414476,73173.20151692162,60199.7739764165,0.06224960124709697,8.521970016736235,0.02452108704534666,0.024521087045354346
5,6,MEX-WECC,385820.3989180099,302300.3781095598,156.63073570794668,1324059.525893703,1037435.2844995384,5673.409700120892,420683.0993580875,329616.2161381121,1462367.1304515419,1145802.9116921772,2.244304233566745,16.75780349241371,29334.332291814666,22984.216926517467,0.3775046509818055,0.0,6.799,5528.368148325519,4331.621102083826,0.0,27.959761971353196,0.5582966421382538,40.465501424382076,70026.47514846578,54867.57562437619,0.11566972028447772,0.29466468433409054,39.12757156474857,68281.12940987787,53500.05156865835,0.08183176971054351,8.216487453236343,0.02490902745689672,0.02490902745690423
6,7,MEX-WECC,389956.1172146836,290991.2586782343,158.30970499341063,1324137.6260810057,988091.8838475199,5673.744348489459,429154.4170030792,320241.63350231334,1448604.9349352918,1080971.3060925147,2.596884428660201,19.272687921073913,33736.607061251234,25174.775619385633,0.43428039516263145,0.0,6.717,5461.692727210251,4075.5992047425807,0.0,26.913781515149882,0.7271255467207437,36.66042697110282,63441.70683319978,47341.17842784081,0.1351808524564757,0.3745188137887605,34.969890378537336,61025.6020217056,45538.243817616014,0.10472701894727032,7.825687720072359,0.02527357298885339,0.025273572988862607
7,8,MEX-WECC,394897.8797215486,280646.5504260748,160.31590243479766,1363081.6572362417,968716.6852406225,5840.614069825282,436243.92799642915,310030.41500969115,1459170.3233453748,1037005.1062814902,3.004854972402869,21.06354289347678,36871.47702620197,26203.870336843425,0.4939729710951218,0.0,5.503,4474.571248747658,3179.9942468219833,0.0,25.95699944890766,0.947008312049156,28.731835283151977,49721.09769071465,35335.85584236679,0.15902196448952782,0.47601341232566596,26.570303790862997,46367.56841915044,32952.56519902124,0.1315659517039734,7.672236147105728,0.02554780177608131,0.02554780177609211
8,9,MEX-WECC,397635.01570839895,269135.0303523397,161.42709205710722,1337536.9173944711,905297.6338590905,5731.158435866875,444280.3402784083,300706.42207592586,1435921.8566113338,971888.433351863,3.476917688567493,24.233460582044273,42420.379593070924,28711.782660788856,0.5568123300747484,0.0,5.196,4224.944977011235,2859.60906284659,0.0,24.89229895728788,1.2333836256128103,29.70801890876478,51410.405767794975,34796.58624151028,0.1880695475497478,0.6050130470661126,26.918116837929112,46974.53344987988,31794.213251811914,0.16309292812975956,7.169957260163999,0.02590787702980893,0.02590787702982112
9,10,MEX-WECC,413011.29788618226,266230.7651161177,167.66937058025766,1352151.9541339076,871609.2057160347,5793.781822190215,465553.1524597542,300099.713048861,1449122.0074615832,934116.9666971697,4.023141457441563,27.809602039485835,48680.37195320423,31379.801805834228,0.6230342432932112,0.0,4.749,3861.482620443871,2489.146126958183,0.0,24.623683465589735,1.6063588339981063,29.721377742762893,51433.523535376065,33154.507863401326,0.22337498124417032,0.7689715828211411,26.094088420750253,45536.52979310557,29353.25311825321,0.20018625095684817,6.9031449092709956,0.026391981557924417,0.02639198155793658
