,year,total_fossil_gen,total_curtailment
0,1,1261958.0287415353,1.5976838767528534e-06
1,2,1248079.0418114492,1.6791746020317078e-06
2,3,1199689.3020847314,1.7636921256780624e-06
3,4,1173281.1066207562,1.8528662621974945e-06
4,5,1178027.3604414074,1.9459985196590424e-06
5,6,1154022.3781662122,2.04332172870636e-06
6,7,1107839.9192667038,2.1462328732013702e-06
7,8,1092158.5462410871,2.2542662918567657e-06
8,9,1014341.8970125183,6178.492315489799
9,10,970136.2761266159,14988.953795478214
10,11,929917.7073652642,40855.095900622895
11,12,891853.3044820852,86236.52547558257
12,13,855053.4848638331,155494.17620247114
13,14,817734.8178080361,254399.2171642608
14,15,799828.3622452931,374887.27949292585
15,16,792916.2931842746,494531.1663087199
16,17,788719.4791223613,636372.4861455057
17,18,769082.7572449939,835554.5492627553
18,19,753918.160590135,1049377.4866729719
19,20,731500.19433756,1326195.3609243901
20,21,729169.0702072862,1611240.7401571488
21,22,724036.6522008922,1937493.689642443
22,23,713964.9469668086,2312399.560741945
23,24,700696.1344287164,2759697.9515654566
24,25,682964.8046481527,3244736.282373399
25,26,676513.4218336231,3778857.0433749864
26,27,670186.8242301546,4350856.665109074
27,28,665275.1920940579,4983465.30294004
28,29,653135.4189767399,5688248.133134656
29,30,642553.0912321493,6446531.180903646
