fast_slow_2055,linear_red_2055
100.84734377786243,100.84734377786202
102.53321001452171,102.53321001452584
104.39299751196977,104.39299751197387
105.8153540727433,105.99354906885799
108.3229171113023,108.70030713586931
109.79967609691606,109.29117450719176
109.27562426000004,112.3248086083667
104.26730082999995,115.80334174817587
99.48156955999997,118.17931033999982
94.91843044000012,114.95172413999968
90.57788347,111.72413792999981
86.45992866000014,108.49655172000045
82.56456599000006,105.2689655200003
78.89179547999993,102.04137930999971
75.44161712000006,98.81379309999988
72.21403091999994,95.58620689999985
69.20903686000005,92.35862068999994
66.4266349600001,89.13103448000018
63.86682521000009,85.90344828000013
61.529607610000106,82.67586207000033
59.414982159999894,79.4482758599998
57.5229488700001,76.22068966000008
55.85350773000021,72.99310345000026
54.406658740000104,69.76551724000036
53.18240189999998,66.53793102999967
52.18073722000007,63.31034482999992
51.401664680000046,60.08275862000001
50.845184300000746,56.855172409999646
50.511296080000555,53.627586209999315
50.40000000000008,50.40000000000086
