MEX,CHL,WECC
141.57169845750104,18.405221253262425,5528.180427533069
142.29493196603107,12.855517980093282,5556.3956949806025
143.0986548772962,6.718217593303052,5578.500154204509
142.92672703787503,4.42420971185129,5610.021460702431
140.60428807183052,4.351622445268731,5698.775809600053
139.31918400568793,4.460388400068041,5730.0940712182155
133.86227732216503,4.412630366481608,5781.352487663662
130.61697462956727,4.404261406411024,5936.5881586830055
126.57319383825597,4.629281140951207,5958.896493760523
121.52627640873106,4.71699510597864,5966.768860836974
118.47305720964869,5.005440596789413,6011.350547370194
120.26788078845311,4.865434081222702,6006.180272080785
121.33553686008418,4.785472167226544,6034.146765367637
124.9198826429456,4.798519567868425,6085.7646276416635
128.1258806209862,5.013415901186818,6099.7489874826315
130.79073620691997,5.059693792369217,6179.788273626798
133.06642058203215,4.761031957399609,6278.797500542068
134.0300977897714,4.649497767963112,6288.6981732508575
137.2468274307048,4.663294418091027,6328.044312162662
140.8455606302996,4.582146581960842,6346.040919720873
142.80376117827655,4.847678942594939,6322.410068627643
144.52813858674926,4.55073459608866,6342.3162553853945
148.12012719278573,4.3931551398945885,6324.399052008097
149.41934001996742,4.10749969767312,6304.882349012672
150.8274620163029,3.949381363907378,6338.921290344114
153.69906793996415,4.073627305318951,6326.174361511399
155.34576618292522,3.969222501698823,6295.395751099916
156.14015024224136,3.8877330576979148,6301.528583999082
156.7413095938664,3.311200901516713,6248.01553835985
158.59681283990358,3.369412289777756,6248.133593090514
