country_1,country_2,country_3,country_4,collaboration_emissions,technology_cost,technology_size,technology_name,collaboration_emissions_MtCO2e/y,technology_cost_G$/y
US,CL,,,,,37.1648,RE_PV_Existing_[US],83.3,0.0
US,CL,,,,,31.2949,RE_WIND_Existing_[US],83.3,0.0
US,CL,,,,,128.63148386875378,RE_PV_Openfield_Lim_[US],83.3,2.6
US,CL,,,,,177.07204090588016,RE_WIND_Onshore_Lim_[US],83.3,8.5
US,CL,,,,,95.31313060337243,BESS_[US],83.3,1.7
US,CL,,,,,5.3467862355253336e-05,PP_CO2_[US],83.3,0.0
US,CL,,,,,112.05966625396627,PP_CO2_Existing_[US],83.3,9.2
US,CL,,,,,132.153,EL_Demand_[US],83.3,0.0
US,CL,,,,,8.366,RE_PV_Existing_[CL],83.3,0.0
US,CL,,,,,4.51,RE_WIND_Existing_[CL],83.3,0.0
US,CL,,,,,9.000805260725606e-08,RE_PV_Openfield_Lim_[CL],83.3,0.0
US,CL,,,,,22.237822426654873,RE_WIND_Onshore_Lim_[CL],83.3,0.6
US,CL,,,,,0.00574349887367237,BESS_[CL],83.3,0.0
US,CL,,,,,0.00015347599704968216,PP_CO2_[CL],83.3,0.0
US,CL,,,,,6.9210606024129655,PP_CO2_Existing_[CL],83.3,0.1
US,CL,,,,,10.7,EL_Demand_[CL],83.3,0.0
US,CL,,,,,37.1648,RE_PV_Existing_[US],224.3,0.0
US,CL,,,,,31.2949,RE_WIND_Existing_[US],224.3,0.0
US,CL,,,,,62.50369032950287,RE_PV_Openfield_Lim_[US],224.3,1.3
US,CL,,,,,69.64078216983927,RE_WIND_Onshore_Lim_[US],224.3,3.4
US,CL,,,,,0.03726536680438694,BESS_[US],224.3,0.0
US,CL,,,,,62.300686812510584,PP_CO2_[US],224.3,11.7
US,CL,,,,,65.97050112527286,PP_CO2_Existing_[US],224.3,2.5
US,CL,,,,,132.153,EL_Demand_[US],224.3,0.0
US,CL,,,,,8.366,RE_PV_Existing_[CL],224.3,0.0
US,CL,,,,,4.51,RE_WIND_Existing_[CL],224.3,0.0
US,CL,,,,,1.3337951073821201e-05,RE_PV_Openfield_Lim_[CL],224.3,0.0
US,CL,,,,,18.4576281137852,RE_WIND_Onshore_Lim_[CL],224.3,0.5
US,CL,,,,,0.024704318582036446,BESS_[CL],224.3,0.0
US,CL,,,,,0.0007723212529329295,PP_CO2_[CL],224.3,0.0
US,CL,,,,,7.344825556125987,PP_CO2_Existing_[CL],224.3,0.2
US,CL,,,,,10.7,EL_Demand_[CL],224.3,0.0
US,CL,,,,,37.1648,RE_PV_Existing_[US],200.0,0.0
US,CL,,,,,31.2949,RE_WIND_Existing_[US],200.0,0.0
US,CL,,,,,67.57654594450925,RE_PV_Openfield_Lim_[US],200.0,1.4
US,CL,,,,,89.01381257524223,RE_WIND_Onshore_Lim_[US],200.0,4.3
US,CL,,,,,0.004990642422977357,BESS_[US],200.0,0.0
US,CL,,,,,53.695310783055575,PP_CO2_[US],200.0,9.9
US,CL,,,,,74.49925929763977,PP_CO2_Existing_[US],200.0,3.4
US,CL,,,,,132.153,EL_Demand_[US],200.0,0.0
US,CL,,,,,8.366,RE_PV_Existing_[CL],200.0,0.0
US,CL,,,,,4.51,RE_WIND_Existing_[CL],200.0,0.0
US,CL,,,,,5.518048096132143e-08,RE_PV_Openfield_Lim_[CL],200.0,0.0
US,CL,,,,,18.810996857149043,RE_WIND_Onshore_Lim_[CL],200.0,0.5
US,CL,,,,,0.001985031368591631,BESS_[CL],200.0,0.0
US,CL,,,,,5.5816031426921424e-05,PP_CO2_[CL],200.0,0.0
US,CL,,,,,7.305791568386531,PP_CO2_Existing_[CL],200.0,0.2
US,CL,,,,,10.7,EL_Demand_[CL],200.0,0.0
