,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_PV_MY_annual_generation_GWh,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD,RE_WIND_MY_annual_generation_GWh
0,1,scenario_0,-0.0,12.66230312,3073.1882221839996,0.0,0.0,0.0,0.0,7.399,0.0,444.3929457161124,70.95619307815554,78.35519307815554,6.12195183732163,10328.920470618477
1,2,scenario_0,-0.0,12.76477288,3098.877257054,0.0,0.0,0.0,0.0,7.399,0.0,444.3929457161124,1.5349250337989953e-13,78.3551930781557,5.830430321258707,10328.920470618501
2,3,scenario_0,-0.0,12.92260882,3132.737354672,0.0,0.0,0.0,0.0,7.399,0.0,444.3929457161124,2.5938891246559486,80.94908220281164,5.750036947392896,10670.85153384043
3,4,scenario_0,-0.0,13.14076975,3125.674788355,0.0,0.0,0.0,0.0,7.399,0.0,444.3929457161124,3.0960249283119106e-14,80.94908220281167,5.476225664183713,10670.851533840436
4,5,scenario_0,-0.0,13.25289413,3193.6466862709995,0.0,0.0,0.0,0.0,7.075,0.0,424.9331113584938,3.7765883100276,84.40167051283927,5.472322450851152,11125.977846100192
5,6,scenario_0,-0.0,13.62931113,3348.09651489,0.0,0.0,0.0,0.0,6.981,0.0,419.28735694609827,7.978165922208025e-14,84.30767051283934,5.211735667477291,11113.586599443839
6,7,scenario_0,-0.0,13.70810244,3327.007621383,0.0,0.0,0.0,0.0,6.899,0.0,414.3623371395405,0.6010143665996984,84.82668487943904,5.00074846080809,11182.003993430346
7,8,scenario_0,-0.0,13.8778231,3369.090134469,0.0,0.0,0.0,0.0,5.685,0.0,341.4480195156236,0.9722125306324382,84.58489741007148,4.820375959405836,11150.131140543635
8,9,scenario_0,-0.0,14.17579887,3371.867703987,0.0,0.0,0.0,0.0,5.378,0.0,323.0092258496084,0.7135208352150483,84.99141824528654,4.631703874317427,11203.719437778735
9,10,scenario_0,-0.0,14.55679946,3503.9566583060005,0.0,0.0,0.0,5.0523660412804285e-14,4.931000000000051,1.6037102516484088e-15,296.1618617821561,6.197010058524956,90.74142830381147,4.754758164340819,11961.695958116325
10,11,scenario_0,-0.0,14.56194257,3509.0976494320003,0.0,0.0,0.0,0.0,4.229000000000051,1.5273430968080084e-15,253.99888734064902,0.0,90.03942830381148,4.528341108896019,11869.157073512444
11,12,scenario_0,-0.0,14.99983984,3684.7725476699998,0.0,0.0,0.0,5.443996631798011e-14,3.4490000000001046,3.1299156451015266e-15,207.15113796119994,0.0,89.25942830381148,4.312705817996209,11766.336090619245
