,year,total_fossil_gen,total_curtailment
0,1,75502.62310301696,1.676089596003294e-07
1,2,71391.07021839598,1.759908627718687e-07
2,3,65704.49732277557,97.32679597994138
3,4,59422.68441746392,1817.1410293821828
4,5,56708.38970493377,6747.648243206626
5,6,56594.29559765466,14278.918999409536
6,7,54072.57250947066,28204.189232008517
7,8,53027.54622659248,44789.41933692004
8,9,51693.438102288106,67162.22396445446
9,10,52299.53613604784,92525.90080497478
10,11,51436.01379693997,128159.739374878
11,12,52317.14359659053,169525.2952869285
12,13,51050.27760216121,225924.77910048654
13,14,50478.789832150265,294489.1766484805
14,15,49741.49304593006,381552.9480395562
15,16,49751.140352650975,487378.84149435605
16,17,50315.96986832379,619470.8653346644
17,18,48855.13610070724,789065.9646359433
18,19,47687.52776306973,998030.9497917849
19,20,46067.790821663286,1260902.513251809
20,21,44699.138558392886,1584020.112233418
21,22,42104.05331218994,1989215.8944542927
22,23,40669.04160332971,2435251.5742057925
23,24,36459.64777900231,2931442.2629767978
24,25,31941.4111414285,3474154.291353087
25,26,28749.397934579338,3855580.9996230737
26,27,30163.138672910045,3852189.4664486796
27,28,30571.011464121137,3852862.420193403
28,29,31848.05447772126,3851266.7174130874
29,30,32410.212497557615,3850143.47159514
