,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD
0,1,linear_red_2055,100.64881563246374,56.81350746,99909.77623629,54.098158188603115,65250.227414929665,13.347069955697677,66.6151911313436,74.0141911313436,3.1613823509893844,0.0,7.399,0.0
1,2,linear_red_2055,102.3495008814876,58.17234609,102635.04445976,55.238879111475214,66352.77490704611,12.926284135413294,4.447284514171384,78.46147564551498,3.2063613818795322,0.0,7.399,0.0
2,3,linear_red_2055,103.68629868316795,59.45655351,104757.47779830999,57.0120563724866,67219.41561234677,12.471538779097264,3.47688561453297,81.93836126004796,3.1966768351907344,0.0,7.399,0.0
3,4,linear_red_2055,105.10791462322206,60.6655974,106673.57266286999,57.97873822736562,68141.04357987296,12.040507439602969,2.6165957221466636,84.55495698219461,3.1460482777573,0.0,7.399,0.0
4,5,linear_red_2055,108.15090115788134,62.1781037,109571.386855362,59.55008255544856,70113.79966407847,11.799136196710847,2.785802823100617,87.01675980529522,3.099195427074282,0.0,7.075,0.0
5,6,linear_red_2055,110.29499210176674,63.70655604,111796.18448309,60.327782440452815,71503.80530704305,11.460051427183988,2.106526679345307,89.02928648464052,3.0262738472698105,0.0,6.981,0.0
6,7,linear_red_2055,112.91626768231627,64.85470242,114050.67379504,62.19679388958606,73203.1678546628,11.173725245675259,0.9749657438848964,89.92225222852542,2.9155198592325764,9.848249603379017e-16,6.899000000000001,6.094082640183029e-17
7,8,linear_red_2055,117.13346618620118,66.33880109,116883.42280167,63.69594275973426,75937.16089475168,11.03908734112769,1.2412232106685757,89.949475439194,2.8179083527724686,4.085070252885405e-14,5.685000000000041,2.484946817507256e-15
8,9,linear_red_2055,114.33433205042935,67.95038888,119542.09982351001,64.84882592707655,74122.49335220497,10.262177787352204,18.495375711874303,108.1378511510683,3.2829766431193153,8.541877928218507e-14,5.378000000000127,7.259302394329227e-15
9,10,linear_red_2055,114.95172414000064,69.26710894,121798.35518260999,66.32299684567784,74522.74619169992,9.826278431749103,8.859314628168136,116.55016577923644,3.4078547218202537,1.743708411620288e-13,4.931000000000302,1.6582130203716916e-14
10,11,linear_red_2055,111.72413793000047,70.83001347,124817.939844841,67.49718718470744,72430.31487116814,9.095598671534626,29.673793791260838,145.52195957049727,4.1716140873452545,6.209346316742953,10.438346316743253,0.33455391091478326
