,year,total_fossil_gen,total_curtailment
0,1,78459.189804195,1.7120037227869034e-06
1,2,78031.43835452013,1.7979764379560947e-06
2,3,76837.45473482952,1.8880964489653707e-06
3,4,74554.73778102903,1.9829021766781807e-06
4,5,74035.5418988772,2.0824081730097532e-06
5,6,75268.48773717097,2.1869491320103407e-06
6,7,69883.62729721102,2.2966560209169984e-06
7,8,69846.98570692586,113.0329088644794
8,9,68210.33789157601,402.9697816544358
9,10,70459.67822663054,272.19445412284404
10,11,68109.04537797361,606.0956848075584
11,12,69756.256465001,607.8732713323261
12,13,66220.09583801494,2245.406930125755
13,14,64326.72844164765,4083.508385897163
14,15,61954.978396713734,8020.708227180658
15,16,61649.696600077456,11994.716782752657
16,17,61562.035442344015,16921.97356764342
17,18,58348.67174992012,27133.69858977475
18,19,56090.89247366119,38604.78186579517
19,20,53281.88918665211,55573.38934715085
20,21,51005.122954079285,75832.861123871
21,22,47264.4690819054,103661.59727125343
22,23,45250.03112009179,134353.7345963081
23,24,42324.00284369605,155776.75878452012
24,25,40229.901273309384,179309.116525837
25,26,38400.083126958845,209099.7179845498
26,27,37293.85095007583,242518.70030554684
27,28,35868.43803381807,290680.0731367164
28,29,35349.08977243468,348544.6617688937
29,30,34689.87255985825,420004.48500908905
